episode,step,job_idx,completion_time,deadline_met
1,37,19,2130.0,False
1,45,25,2657.0,False
1,47,29,2825.0,False
1,50,1,3000.0,False
1,55,21,3340.0,False
1,76,5,4534.0,False
1,80,6,4772.0,False
1,96,4,5763.0,False
1,97,12,5834.0,False
1,101,22,6059.0,False
1,109,14,6507.0,False
1,110,11,6597.0,False
1,126,15,7443.0,False
1,144,2,8465.0,False
1,147,10,8601.0,False
1,149,26,8769.0,False
1,152,7,8925.0,False
1,155,23,9103.0,False
1,160,16,9329.0,False
1,162,17,9446.0,False
1,163,9,9498.0,False
1,167,20,9756.0,False
1,168,27,9793.0,False
1,169,18,9829.0,False
1,175,3,10219.0,False
1,183,0,10669.0,False
1,188,13,10993.0,False
1,191,28,11123.0,False
1,194,24,11293.0,False
1,198,8,11463.0,False
