episode,step,job_idx,operation_id,reward,makespan,current_time,setup_time,job_completed,reward_makespan_reward,reward_setup_reward,reward_deadline_reward,reward_priority_reward,reward_critical_job_reward,reward_placement_reward,reward_lookahead_reward,reward_timeliness_reward,reward_machine_idle_penalty,reward_credit_assignment_penalty
1,31,7,J8:OP3,-1.9946973323822021,1507,1507.0,10,False,-7.535000000000001,-176.25,40.0,40.0,28.7875,0.0,201.8,-39.81184768676758,-147.2,0.0
1,32,7,J8:OP4,-5.003536224365234,1580,1580.0,15,False,-7.900000000000001,-180.0,40.0,40.0,28.7875,0.0,208.60000000000002,-40.825382232666016,-153.875,0.0
1,33,2,J3:OP4,-1.8075134754180908,1630,1630.0,20,False,-8.150000000000002,-185.0,40.0,40.0,29.2875,0.0,215.60000000000002,-41.92039489746094,-156.8375,0.0
1,34,5,J6:OP2,-2.4416263103485107,1663,1663.0,20,False,-8.315000000000001,-190.0,40.0,40.0,29.7875,0.0,222.60000000000002,-42.909523010253906,-160.625,0.0
1,35,15,J16:OP3,-2.0980265140533447,1708,1708.0,15,False,-8.540000000000001,-193.75,40.0,40.0,29.7875,0.0,229.60000000000002,-44.15755081176758,-164.5,0.0
1,36,15,J16:OP4,-3.616936206817627,1751,1751.0,20,False,-8.755,-198.75,40.0,40.0,29.7875,0.0,236.60000000000002,-45.1719856262207,-168.8875,0.0
1,37,1,J2:OP4,-4.730615139007568,1792,1792.0,20,False,-8.96,-203.75,40.0,40.0,29.7875,0.0,243.40000000000003,-46.08510208129883,-174.29999999999998,0.0
1,38,5,J6:OP3,-1.657759666442871,1840,1840.0,10,False,-9.200000000000001,-206.25,40.0,40.0,30.2875,0.0,250.60000000000002,-47.14036178588867,-179.86249999999998,0.0
1,39,0,J1:OP1,-2.6878855228424072,1905,1905.0,25,False,-9.525,-212.5,40.0,40.0,30.2875,0.0,257.8,-48.228248596191406,-182.08749999999998,0.0
1,40,2,J3:OP5,-0.26197099685668945,1942,1942.0,20,False,-9.71,-217.5,40.0,40.0,30.7875,0.0,265.0,-49.26771926879883,-183.825,0.0
1,41,15,J16:OP5,-1.803426742553711,1976,1976.0,20,False,-9.88,-222.5,40.0,40.0,30.7875,0.0,272.2,-50.51364517211914,-186.4125,0.0
1,42,13,J14:OP1,-7.327957630157471,2034,2034.0,40,False,-10.17,-232.5,40.0,40.0,30.7875,0.0,279.4,-51.601600646972656,-189.5625,0.0
