episode,step,job_idx,reward,makespan,current_time,setup_time,job_completed
1,104,12,13.527840753061557,4965.0,4965.0,15,False
1,105,13,5.50852641147909,5015.0,5015.0,20,False
1,106,17,-5.9510470500054655,5048.0,5048.0,20,True
1,107,13,7.621786083129805,5092.0,5092.0,20,False
1,108,15,14.924603398938231,5137.0,5137.0,15,False
1,109,13,-15.0,5178.0,5178.0,20,True
1,110,11,2.4527423028342876,5224.0,5224.0,20,False
1,111,11,3.35235440579114,5272.0,5272.0,20,False
1,112,8,19.42263396258039,5304.0,5304.0,20,False
1,113,15,14.93493422141382,5347.0,5347.0,20,False
1,114,3,13.498665856634661,5382.0,5382.0,20,False
1,115,12,16.10672099581383,5424.0,5424.0,20,False
1,116,11,4.608737641315916,5472.0,5472.0,20,False
1,117,8,17.826038154678493,5538.0,5538.0,15,False
1,118,11,-15.0,5580.0,5580.0,20,True
1,119,8,-2.5061440215693467,5613.0,5613.0,10,True
1,120,12,-12.646163667849642,5681.0,5681.0,15,True
1,121,0,16.361765373746184,5723.0,5723.0,20,False
1,122,16,11.75724662891615,5772.0,5772.0,15,False
1,123,0,-10.344567318858942,5804.0,5804.0,20,True
1,124,3,13.490493876503379,5859.0,5859.0,15,False
1,125,15,17.766797677398618,5893.0,5893.0,20,False
1,126,3,15.818358290717324,5927.0,5927.0,20,False
1,127,3,14.961527030242086,5972.0,5972.0,20,False
1,128,3,18.592989909271285,6011.0,6011.0,15,False
1,129,3,-10.643485208683051,6052.0,6052.0,15,True
1,130,16,13.61361866114093,6093.0,6093.0,15,False
1,131,16,12.490301790583745,6158.0,6158.0,15,False
1,132,15,-13.471764281216398,6208.0,6208.0,20,True
1,133,16,15.185285600872753,6277.0,6277.0,10,False
1,134,16,-12.012571711540224,6312.0,6312.0,10,True
2,1,4,12.598144888379682,36.0,36.0,0,False
2,2,18,8.902414453065218,91.0,91.0,40,False
2,3,18,14.321410030179948,121.0,121.0,0,False
2,4,12,8.527662597841294,187.0,187.0,25,False
2,5,5,12.483827665848517,263.0,263.0,40,False
2,6,17,7.129514106245185,325.0,325.0,40,False
2,7,0,5.935833119954637,405.0,405.0,40,False
2,8,12,15.263110921276152,443.0,443.0,15,False
2,9,7,5.145344765002454,502.0,502.0,40,False
2,10,2,8.072572255312506,576.0,576.0,40,False
2,11,7,9.202307525736774,609.0,609.0,20,False
2,12,6,9.30651195584838,684.0,684.0,40,False
2,13,6,12.999414742331005,727.0,727.0,20,False
2,14,6,20.0,751.0,751.0,0,False
2,15,3,10.104857339190522,801.0,801.0,25,False
2,16,0,15.123458180214044,832.0,832.0,15,False
2,17,10,6.493777808022144,903.0,903.0,40,False
2,18,14,12.729996756564326,966.0,966.0,40,False
2,19,10,11.205792172893661,999.0,999.0,20,False
2,20,7,10.40517311242979,1068.0,1068.0,15,False
