heuristic,run,makespan,total_reward,deadline_ratio,completed_jobs,met_deadlines,total_tardiness,weighted_tardiness,machine_utilization,timeliness_score,steps,actions
PPO-GNN (Dein Modell),11,6896,-854.9534994428358,0.0,20,0,81571.0,547012.0,0.9727861,-1.4592124,123,"[11, 15, 5, 15, 7, 12, 5, 18, 0, 5, 8, 7, 11, 13, 10, 5, 4, 5, 1, 6, 13, 8, 11, 1, 7, 10, 7, 8, 12, 6, 6, 8, 5, 14, 18, 15, 11, 11, 15, 17, 10, 15, 13, 0, 0, 6, 0, 19, 1, 11, 13, 8, 2, 19, 5, 2, 2, 18, 11, 17, 11, 6, 6, 19, 3, 5, 4, 4, 2, 1, 9, 7, 18, 16, 12, 1, 10, 14, 4, 13, 13, 17, 12, 16, 10, 0, 10, 14, 19, 16, 3, 13, 2, 14, 9, 4, 0, 18, 19, 14, 18, 4, 3, 12, 16, 9, 12, 17, 9, 14, 16, 3, 16, 3, 2, 3, 16, 2, 3, 16, 3, 17, 9]"
PPO-GNN (Dein Modell),12,6838,-889.8650378291309,0.0,20,0,80411.0,539240.0,0.960661,-1.4385288,123,"[19, 19, 8, 18, 11, 0, 14, 16, 12, 18, 16, 0, 17, 2, 15, 12, 15, 15, 16, 18, 7, 14, 19, 18, 8, 8, 8, 9, 13, 5, 5, 15, 2, 13, 11, 15, 12, 12, 19, 12, 17, 0, 8, 16, 14, 1, 18, 17, 14, 5, 0, 5, 18, 3, 11, 9, 12, 16, 14, 4, 17, 0, 11, 0, 5, 11, 11, 4, 11, 5, 11, 5, 6, 2, 9, 6, 3, 3, 3, 2, 13, 4, 5, 16, 16, 7, 3, 10, 6, 13, 9, 6, 6, 4, 19, 1, 7, 2, 2, 1, 2, 13, 7, 9, 7, 13, 6, 16, 3, 1, 1, 14, 4, 4, 13, 3, 10, 17, 3, 10, 10, 10, 10]"
PPO-GNN (Dein Modell),13,6770,-970.8432071993471,0.0,20,0,79051.0,530128.0,0.9548006,-1.4142791,123,"[6, 11, 3, 11, 18, 14, 15, 9, 11, 17, 3, 4, 3, 19, 5, 8, 18, 1, 1, 15, 16, 19, 0, 12, 8, 11, 18, 17, 5, 0, 13, 19, 11, 10, 12, 18, 8, 6, 11, 7, 0, 11, 8, 7, 7, 5, 8, 0, 19, 1, 2, 18, 15, 2, 5, 3, 13, 3, 16, 13, 17, 0, 2, 2, 17, 5, 0, 5, 12, 10, 18, 15, 3, 5, 15, 12, 13, 11, 5, 1, 19, 14, 1, 6, 7, 17, 16, 13, 9, 16, 16, 6, 4, 12, 16, 3, 14, 7, 16, 2, 2, 16, 6, 6, 4, 2, 12, 14, 3, 10, 14, 4, 14, 9, 13, 13, 9, 4, 4, 9, 10, 10, 10]"
PPO-GNN (Dein Modell),14,6752,-1035.4913272087356,0.0,20,0,78691.0,527716.0,0.97580963,-1.4078599,123,"[10, 15, 2, 12, 12, 15, 6, 4, 5, 5, 18, 6, 16, 6, 8, 15, 9, 9, 12, 6, 2, 11, 7, 2, 16, 15, 1, 15, 5, 18, 8, 4, 1, 11, 5, 1, 0, 3, 18, 11, 3, 7, 5, 5, 5, 11, 0, 18, 19, 5, 7, 1, 18, 8, 8, 14, 2, 13, 8, 12, 18, 0, 2, 6, 9, 11, 14, 6, 1, 0, 19, 4, 19, 11, 14, 4, 11, 0, 10, 16, 9, 16, 13, 11, 13, 12, 14, 12, 7, 14, 0, 17, 7, 16, 16, 16, 9, 16, 2, 2, 14, 13, 19, 19, 13, 4, 3, 13, 4, 3, 13, 3, 3, 10, 3, 17, 3, 17, 17, 17, 10, 10, 10]"
PPO-GNN (Dein Modell),15,6857,-1135.831543729643,0.0,20,0,80791.0,541786.0,0.968791,-1.4453048,123,"[12, 15, 8, 12, 11, 15, 16, 14, 4, 12, 16, 15, 8, 14, 9, 8, 8, 11, 15, 12, 11, 14, 14, 8, 17, 12, 6, 7, 1, 12, 15, 7, 18, 10, 11, 1, 11, 18, 5, 5, 6, 6, 1, 9, 2, 2, 14, 17, 17, 5, 6, 16, 18, 17, 6, 1, 0, 3, 13, 3, 7, 0, 11, 5, 18, 16, 3, 16, 19, 7, 9, 3, 2, 19, 13, 13, 5, 7, 11, 14, 3, 4, 11, 2, 16, 13, 13, 0, 9, 1, 18, 0, 10, 6, 9, 13, 5, 19, 0, 5, 2, 5, 19, 18, 3, 4, 17, 16, 13, 19, 0, 10, 16, 3, 2, 2, 10, 3, 4, 10, 4, 10, 4]"
PPO-GNN (Dein Modell),16,6884,-1044.7630942347798,0.0,20,0,81331.0,545404.0,0.98852414,-1.454933,123,"[13, 8, 1, 13, 6, 0, 2, 11, 4, 8, 19, 5, 15, 13, 8, 16, 8, 4, 18, 4, 15, 0, 7, 8, 13, 16, 11, 7, 15, 15, 2, 18, 14, 19, 3, 11, 2, 5, 15, 0, 9, 0, 5, 0, 18, 16, 16, 1, 14, 14, 9, 2, 2, 3, 18, 11, 6, 2, 5, 11, 0, 2, 6, 3, 3, 12, 6, 12, 18, 14, 18, 5, 12, 3, 7, 1, 5, 1, 13, 4, 9, 19, 6, 16, 10, 7, 12, 3, 1, 12, 6, 11, 12, 5, 4, 7, 3, 17, 5, 13, 13, 16, 11, 11, 9, 16, 16, 9, 17, 17, 17, 14, 3, 10, 19, 14, 4, 10, 17, 19, 10, 10, 10]"
PPO-GNN (Dein Modell),17,6870,-910.6042886986392,0.0,20,0,81051.0,543528.0,0.98427945,-1.4499403,123,"[8, 8, 11, 12, 12, 5, 1, 15, 8, 0, 2, 11, 5, 8, 5, 12, 8, 11, 11, 1, 11, 15, 3, 11, 2, 5, 9, 15, 0, 14, 6, 12, 18, 18, 14, 4, 7, 6, 11, 10, 1, 9, 12, 18, 0, 3, 6, 14, 17, 15, 6, 18, 13, 13, 12, 13, 11, 16, 2, 16, 1, 16, 0, 5, 1, 13, 15, 18, 0, 7, 10, 10, 14, 16, 19, 17, 2, 0, 9, 6, 6, 18, 5, 10, 5, 17, 2, 5, 7, 13, 4, 13, 2, 7, 19, 17, 7, 13, 9, 3, 4, 2, 3, 16, 4, 3, 14, 3, 17, 3, 4, 4, 16, 16, 3, 14, 10, 16, 10, 19, 9, 19, 19]"
PPO-GNN (Dein Modell),18,6897,-1127.5422370708889,0.0,20,0,81591.0,547146.0,0.9671838,-1.4595691,123,"[4, 7, 12, 1, 5, 18, 8, 8, 7, 14, 6, 0, 15, 12, 4, 6, 6, 8, 8, 11, 0, 4, 3, 6, 1, 6, 0, 10, 5, 12, 1, 14, 5, 3, 16, 2, 19, 13, 12, 16, 8, 10, 16, 2, 16, 5, 11, 9, 1, 19, 5, 18, 19, 11, 16, 9, 11, 14, 19, 14, 0, 13, 15, 10, 19, 13, 1, 16, 11, 2, 0, 16, 2, 0, 11, 12, 2, 14, 11, 16, 5, 17, 12, 15, 18, 14, 3, 6, 15, 11, 2, 4, 2, 15, 13, 18, 5, 10, 5, 17, 18, 10, 13, 10, 17, 4, 7, 18, 13, 13, 9, 3, 7, 3, 3, 7, 4, 9, 17, 17, 9, 3, 3]"
PPO-GNN (Dein Modell),19,6844,-756.9142736167003,0.0,20,0,80531.0,540044.0,0.9847555,-1.4406686,123,"[8, 12, 15, 11, 4, 3, 11, 1, 1, 1, 8, 10, 14, 8, 15, 5, 12, 8, 8, 12, 6, 16, 15, 15, 11, 6, 17, 0, 11, 11, 15, 11, 12, 19, 0, 19, 12, 13, 2, 5, 19, 11, 5, 16, 1, 10, 6, 0, 11, 18, 0, 0, 6, 6, 5, 6, 9, 1, 10, 5, 16, 12, 16, 9, 16, 0, 19, 13, 7, 13, 2, 18, 10, 7, 18, 5, 5, 19, 3, 17, 18, 9, 5, 18, 10, 16, 7, 9, 9, 18, 4, 13, 13, 3, 2, 7, 16, 3, 13, 7, 2, 4, 10, 13, 3, 16, 2, 14, 17, 14, 2, 2, 14, 14, 17, 4, 4, 3, 4, 17, 3, 3, 14]"
PPO-GNN (Dein Modell),20,6806,-820.2646394500766,0.0,20,0,79771.0,534952.0,0.9794789,-1.427117,123,"[6, 18, 8, 0, 15, 11, 17, 2, 8, 7, 8, 14, 16, 18, 18, 3, 1, 14, 5, 11, 11, 15, 4, 0, 18, 14, 18, 7, 15, 5, 15, 6, 11, 3, 15, 3, 5, 13, 4, 12, 16, 11, 6, 0, 8, 18, 1, 11, 1, 11, 17, 10, 3, 6, 2, 5, 13, 13, 2, 19, 4, 1, 4, 16, 19, 16, 16, 4, 10, 7, 4, 9, 5, 17, 12, 12, 3, 17, 2, 1, 3, 19, 17, 6, 19, 10, 10, 0, 0, 11, 13, 5, 12, 5, 2, 2, 10, 0, 8, 12, 2, 6, 9, 16, 16, 3, 9, 13, 12, 19, 5, 10, 16, 3, 13, 7, 7, 14, 13, 9, 14, 14, 9]"
