episode,total_reward,steps,makespan,completed_jobs,fully_completed_jobs,met_deadlines,deadline_ratio,avg_machine_util,machine_util_std
2361,-690.4221704873977,123,6811,20,20,0,0.0,0.98262614,0.017978813
2362,-877.2400719229581,123,6807,20,20,0,0.0,0.98800254,0.010565335
2363,-919.3973140050848,123,6744,20,20,0,0.0,0.96144724,0.0426574
2364,-944.8705527696619,123,6855,20,20,0,0.0,0.9790907,0.022916561
2365,-1215.5136380371296,123,6734,20,20,0,0.0,0.991189,0.0066425973
2366,-945.603986972177,123,6776,20,20,0,0.0,0.98494685,0.011449251
2367,-880.8598085495546,123,6791,20,20,0,0.0,0.98046434,0.020680051
2368,-835.4415507336446,123,6816,20,20,0,0.0,0.9730536,0.034142017
2369,-850.2832124695381,123,6856,20,20,0,0.0,0.9855601,0.013448996
2370,-1068.8854552105447,123,6815,20,20,0,0.0,0.9882123,0.009468945
2371,-963.879556393208,123,6856,20,20,0,0.0,0.989401,0.008064333
2372,-1170.8518086332508,123,6841,20,20,0,0.0,0.9874775,0.013153996
2373,-995.6409158589612,123,6819,20,20,0,0.0,0.98088676,0.019769672
2374,-1126.6410554386307,123,6859,20,20,0,0.0,0.9902804,0.00748945
2375,-1510.6435376772765,123,6839,20,20,0,0.0,0.98703516,0.010875056
2376,-1023.1628079696835,123,6847,20,20,0,0.0,0.98520035,0.013922176
2377,-1340.289114421401,123,6879,20,20,0,0.0,0.9919562,0.0073334565
2378,-989.831079086667,123,6778,20,20,0,0.0,0.9706403,0.026785295
2379,-911.908801463362,123,6859,20,20,0,0.0,0.9879963,0.01390292
2380,-1173.5624875290464,123,6837,20,20,0,0.0,0.9904441,0.007822297
2381,-1026.5368930882103,123,6929,20,20,0,0.0,0.99013805,0.0104897395
2382,-840.4469734999255,123,6810,20,20,0,0.0,0.9857073,0.0169026
2383,-1181.575342320699,123,6815,20,20,0,0.0,0.98728293,0.011148213
2384,-1535.6979162396644,123,6823,20,20,0,0.0,0.99018025,0.008267508
2385,-852.9548064890982,123,6695,20,20,0,0.0,0.983769,0.012162243
2386,-956.2706714235769,123,6798,20,20,0,0.0,0.98837894,0.009313618
2387,-894.7599832275314,123,6915,20,20,0,0.0,0.9823572,0.01701567
2388,-1465.7397297207822,123,6773,20,20,0,0.0,0.96648455,0.03561216
2389,-1051.169895942734,123,6915,20,20,0,0.0,0.9933478,0.0060334513
2390,-1306.4736791234711,123,6878,20,20,0,0.0,0.9894349,0.011531708
2391,-1181.0691507209617,123,6815,20,20,0,0.0,0.9902177,0.007537805
2392,-822.0777328482602,123,6906,20,20,0,0.0,0.99107057,0.008529244
2393,-747.4871148410431,123,6858,20,20,0,0.0,0.98527265,0.010952651
2394,-878.0299264472692,123,6860,20,20,0,0.0,0.9930029,0.006467871
2395,-1071.0816878760957,123,6809,20,20,0,0.0,0.99280363,0.006711979
2396,-1018.3190469738622,123,6944,20,20,0,0.0,0.98991936,0.011248091
2397,-1719.174903698306,123,6788,20,20,0,0.0,0.98688865,0.01466841
2398,-834.7498550874254,123,6852,20,20,0,0.0,0.988957,0.008996791
2399,-925.6381541781432,123,6867,20,20,0,0.0,0.97597206,0.020568583
2400,-841.5309631418278,123,6827,20,20,0,0.0,0.9890142,0.010780431
2401,-883.9330595255723,123,6867,20,20,0,0.0,0.9610213,0.046742104
2402,-1230.6262624690007,123,6875,20,20,0,0.0,0.98244846,0.01396987
2403,-841.1802492310669,123,6781,20,20,0,0.0,0.99228233,0.007905256
2404,-1139.9396232456527,123,6951,20,20,0,0.0,0.9837913,0.019187165
2405,-883.6113279198743,123,6811,20,20,0,0.0,0.9820878,0.019166801
2406,-942.6354370845621,123,6847,20,20,0,0.0,0.98802394,0.011009711
2407,-965.4195549269873,123,6835,20,20,0,0.0,0.9899049,0.011223338
2408,-926.0447093326419,123,6855,20,20,0,0.0,0.98098713,0.022217162
2409,-1011.294512676288,123,6866,20,20,0,0.0,0.9921837,0.008074529
2410,-1090.9527775368144,123,6831,20,20,0,0.0,0.9880447,0.013171055
2411,-1020.5398528293957,123,6869,20,20,0,0.0,0.9938856,0.0057586036
2412,-918.0134675534052,123,6889,20,20,0,0.0,0.98954856,0.011743229
2413,-1078.0541321413464,123,6887,20,20,0,0.0,0.9858671,0.016904267
2414,-928.1686922877878,123,6822,20,20,0,0.0,0.9931594,0.0063988203
2415,-1187.4262412878288,123,6855,20,20,0,0.0,0.9928519,0.007069742
2416,-880.4145891359503,123,6840,20,20,0,0.0,0.97904485,0.018659057
2417,-897.0420988917671,123,6835,20,20,0,0.0,0.98605216,0.016621578
2418,-1262.9733571392683,123,6939,20,20,0,0.0,0.98539656,0.013737608
2419,-997.5611016069263,123,6910,20,20,0,0.0,0.98972505,0.011505441
2420,-1124.5755809915106,123,6808,20,20,0,0.0,0.9868292,0.012498455
2421,-692.878513192832,123,6745,20,20,0,0.0,0.9866074,0.00965412
2422,-936.163368491691,123,6811,20,20,0,0.0,0.9911418,0.009050948
2423,-1121.1069901496005,123,6865,20,20,0,0.0,0.99004614,0.011038884
2424,-871.2274800349442,123,6883,20,20,0,0.0,0.9903627,0.007555162
2425,-909.6180576419298,123,6862,20,20,0,0.0,0.97950065,0.021285675
2426,-1126.656491945227,123,6882,20,20,0,0.0,0.9859053,0.012711351
2427,-883.9691903612224,123,6779,20,20,0,0.0,0.9864287,0.013015313
2428,-1036.7752685454313,123,6787,20,20,0,0.0,0.98777074,0.012028499
2429,-863.8452337760143,123,6916,20,20,0,0.0,0.99031234,0.010688731
2430,-1221.2383307276598,123,6854,20,20,0,0.0,0.99032193,0.010112691
2431,-867.6955479098793,123,6853,20,20,0,0.0,0.9871589,0.014510704
2432,-1550.399422772554,123,6907,20,20,0,0.0,0.99001014,0.0073946854
2433,-1448.0751166435662,123,6828,20,20,0,0.0,0.98803943,0.013453925
2434,-1228.0922034754512,123,6760,20,20,0,0.0,0.9929487,0.0059910775
2435,-819.6189152763978,123,6784,20,20,0,0.0,0.9902221,0.010395546
2436,-1491.460807097882,123,6807,20,20,0,0.0,0.98501545,0.011582421
2437,-1602.4346649323884,123,6799,20,20,0,0.0,0.97161347,0.026930062
2438,-857.8369306039859,123,6827,20,20,0,0.0,0.99272496,0.006824789
2439,-785.7755864231349,123,6766,20,20,0,0.0,0.9904917,0.007723595
2440,-842.1253567848684,123,6870,20,20,0,0.0,0.99238235,0.0073035327
2441,-757.996382599684,123,6775,20,20,0,0.0,0.98405904,0.015394482
2442,-928.9424303630288,123,6755,20,20,0,0.0,0.9836664,0.017657518
2443,-842.4798867926863,123,6802,20,20,0,0.0,0.99186516,0.007416464
2444,-918.7109915230617,123,6780,20,20,0,0.0,0.9799902,0.020968283
2445,-1246.5559469500681,123,6799,20,20,0,0.0,0.9893122,0.008589916
2446,-1193.2945388034022,123,6837,20,20,0,0.0,0.98737264,0.011049286
2447,-1280.5898584421245,123,6848,20,20,0,0.0,0.9895347,0.008645992
2448,-999.7532459710685,123,6780,20,20,0,0.0,0.99016714,0.007576704
2449,-924.9149583517316,123,6842,20,20,0,0.0,0.98192537,0.018363902
2450,-1344.6858700264277,123,6839,20,20,0,0.0,0.9854755,0.013547446
2451,-950.1545987807319,123,6747,20,20,0,0.0,0.98656195,0.015291354
2452,-873.9162450755107,123,6799,20,20,0,0.0,0.98602736,0.012779926
2453,-996.2608617289089,123,6816,20,20,0,0.0,0.98660016,0.013647964
2454,-805.2079467834556,123,6791,20,20,0,0.0,0.98777795,0.0120214
2455,-863.4957030927053,123,6803,20,20,0,0.0,0.97099316,0.023525575
2456,-1513.4636416816265,123,6774,20,20,0,0.0,0.98705834,0.014423984
2457,-787.4853784256453,123,6820,20,20,0,0.0,0.98088956,0.020386454
2458,-919.9667503745038,123,6891,20,20,0,0.0,0.97407246,0.0322576
2459,-855.3883454041845,123,6846,20,20,0,0.0,0.95739603,0.039832845
2460,-984.8419688983844,123,6894,20,20,0,0.0,0.97679144,0.017528497
2461,-881.107989490203,123,6860,20,20,0,0.0,0.98741496,0.011372951
2462,-1096.1489674532168,123,6881,20,20,0,0.0,0.9696265,0.036001585
2463,-1173.7538926485831,123,6833,20,20,0,0.0,0.9837553,0.018048206
2464,-896.8575963922851,123,6886,20,20,0,0.0,0.98446125,0.015358334
2465,-845.3658841492921,123,6832,20,20,0,0.0,0.98955894,0.008927651
2466,-802.3726130158659,123,6806,20,20,0,0.0,0.9864825,0.016004259
2467,-1044.2311129541042,123,6776,20,20,0,0.0,0.97692835,0.02567219
2468,-1182.8319445186119,123,6820,20,20,0,0.0,0.990958,0.0071915565
2469,-1093.1027053923456,123,6842,20,20,0,0.0,0.98694336,0.011610806
2470,-1551.4071544752812,123,6812,20,20,0,0.0,0.98874533,0.008834315
2471,-878.2961904370803,123,6817,20,20,0,0.0,0.985233,0.014253233
2472,-1220.8695198786595,123,6907,20,20,0,0.0,0.98788667,0.011950806
2473,-988.7981171918184,123,6844,20,20,0,0.0,0.9838301,0.016697614
2474,-751.7100811953994,123,6829,20,20,0,0.0,0.9635379,0.04015738
2475,-968.273980321705,123,6861,20,20,0,0.0,0.9813924,0.020083498
2476,-957.5806085459863,123,6845,20,20,0,0.0,0.9763331,0.02798137
2477,-1118.7899450476402,123,6844,20,20,0,0.0,0.99293786,0.005412559
2478,-1044.2438662736304,123,6890,20,20,0,0.0,0.98998547,0.011133768
2479,-1035.8282391188325,123,6835,20,20,0,0.0,0.97537184,0.025462333
2480,-880.9718858763142,123,6833,20,20,0,0.0,0.9868774,0.0124527365
2481,-749.3495641634212,123,6794,20,20,0,0.0,0.99013835,0.008302788
2482,-997.2863272274418,123,6786,20,20,0,0.0,0.99425286,0.0052405135
2483,-968.7571704824301,123,6825,20,20,0,0.0,0.96322346,0.041142873
2484,-982.0671503821179,123,6877,20,20,0,0.0,0.9711599,0.031345777
2485,-918.1312552222618,123,6826,20,20,0,0.0,0.9778787,0.02313473
2486,-1132.6902939820466,123,6823,20,20,0,0.0,0.98915434,0.010587758
2487,-863.5005308404983,123,6833,20,20,0,0.0,0.98517,0.013339588
2488,-1016.0389584545825,123,6847,20,20,0,0.0,0.9855411,0.012310378
2489,-1308.5997731578425,123,6811,20,20,0,0.0,0.99040765,0.007852154
2490,-837.5379205592741,123,6910,20,20,0,0.0,0.9872166,0.012453762
2491,-1077.8682320685407,123,6856,20,20,0,0.0,0.9869214,0.014201631
2492,-798.3788608725123,123,6795,20,20,0,0.0,0.9874417,0.012481955
2493,-914.6364739001067,123,6877,20,20,0,0.0,0.9686879,0.03478815
2494,-851.8349658409957,123,6807,20,20,0,0.0,0.98731697,0.011097982
2495,-1255.198927488767,123,6833,20,20,0,0.0,0.9837553,0.012286886
2496,-870.8241476903729,123,6858,20,20,0,0.0,0.9850783,0.015775176
2497,-1081.6151843445798,123,6876,20,20,0,0.0,0.98705643,0.012323842
2498,-837.2963652341485,123,6878,20,20,0,0.0,0.9898226,0.007655734
2499,-1043.8780589635758,123,6829,20,20,0,0.0,0.98857814,0.010962703
2500,-892.9519825961071,123,6788,20,20,0,0.0,0.9874288,0.012494806
2501,-819.4898732059264,123,6810,20,20,0,0.0,0.9823299,0.018740885
2502,-818.5743114107255,123,6771,20,20,0,0.0,0.9800128,0.01745867
2503,-1150.104037301604,123,6902,20,20,0,0.0,0.9849802,0.0138010895
2504,-851.9910640529167,123,6844,20,20,0,0.0,0.9832457,0.018308092
2505,-1013.78208559902,123,6869,20,20,0,0.0,0.9869947,0.014107325
2506,-1005.0149874318629,123,6838,20,20,0,0.0,0.98625326,0.010100899
2507,-917.5230514621929,123,6940,20,20,0,0.0,0.97896254,0.02067142
2508,-853.2976868156428,123,6876,20,20,0,0.0,0.9936494,0.005552348
2509,-1000.5195489015136,123,6818,20,20,0,0.0,0.9796617,0.022179887
2510,-1128.746550043952,123,6772,20,20,0,0.0,0.9909923,0.007741834
2511,-920.2095960263971,123,6793,20,20,0,0.0,0.98616225,0.013468472
2512,-976.5520737093993,123,6828,20,20,0,0.0,0.99008983,0.008255695
2513,-876.894332320091,123,6897,20,20,0,0.0,0.99047893,0.009324836
2514,-881.1486971652638,123,6889,20,20,0,0.0,0.98674214,0.0127571095
2515,-783.2983082746681,123,6783,20,20,0,0.0,0.99036807,0.009414851
2516,-924.2628164055637,123,6855,20,20,0,0.0,0.9735959,0.023622485
2517,-823.3585649260997,123,6796,20,20,0,0.0,0.9921032,0.0068136784
2518,-830.0414918900397,123,6876,20,20,0,0.0,0.99267983,0.006120127
2519,-838.7410913662333,123,6805,20,20,0,0.0,0.98790103,0.012813297
2520,-928.8958760447032,123,6812,20,20,0,0.0,0.98624974,0.012881814
2521,-1067.8099139351284,123,6822,20,20,0,0.0,0.9663344,0.041155282
2522,-840.612083970328,123,6769,20,20,0,0.0,0.9857192,0.013557782
2523,-1322.0241986160365,123,6874,20,20,0,0.0,0.98671323,0.012784949
2524,-908.3903586098186,123,6895,20,20,0,0.0,0.973314,0.03140573
2525,-941.3329350279915,123,6790,20,20,0,0.0,0.9608247,0.04712139
2526,-983.8749075780796,123,6938,20,20,0,0.0,0.98827714,0.010445038
2527,-1102.5619431712237,123,6887,20,20,0,0.0,0.97962344,0.02256693
2528,-1008.4662736428013,123,6886,20,20,0,0.0,0.9913835,0.0073058256
2529,-1015.7647914863742,123,6829,20,20,0,0.0,0.9931176,0.0056194556
2530,-1085.0695299658646,123,6828,20,20,0,0.0,0.97568834,0.027453583
2531,-956.479461506585,123,6857,20,20,0,0.0,0.9859997,0.012208528
2532,-1073.439172530904,123,6869,20,20,0,0.0,0.98403454,0.018237567
2533,-952.2595694404773,123,6916,20,20,0,0.0,0.98110664,0.015525705
2534,-1038.4799519690912,123,6900,20,20,0,0.0,0.98623186,0.009906799
2535,-917.2385327439192,123,6818,20,20,0,0.0,0.99041754,0.009963763
2536,-948.1281766425834,123,6873,20,20,0,0.0,0.98952425,0.008674679
2537,-1023.1735291318993,123,6780,20,20,0,0.0,0.9844641,0.01873303
2538,-918.5729876461846,123,6854,20,20,0,0.0,0.9778718,0.02172373
2539,-1233.8432579733528,123,6801,20,20,0,0.0,0.9719159,0.029304584
2540,-1297.516450770671,123,6836,20,20,0,0.0,0.9828847,0.01403465
2541,-1012.6583862232312,123,6829,20,20,0,0.0,0.9937521,0.0053340956
2542,-991.2773091618689,123,6841,20,20,0,0.0,0.9856746,0.010559918
2543,-991.2340207032958,123,6833,20,20,0,0.0,0.9934631,0.005777015
2544,-998.3575149569784,123,6901,20,20,0,0.0,0.9712119,0.028286457
2545,-1618.8178798224483,123,6877,20,20,0,0.0,0.98531336,0.010959754
2546,-740.4577307767436,123,6774,20,20,0,0.0,0.97362465,0.033914044
2547,-1038.0920592497314,123,6801,20,20,0,0.0,0.99230504,0.0061290925
2548,-1041.042871226615,123,6832,20,20,0,0.0,0.983509,0.014145403
2549,-1040.7390893751158,123,6894,20,20,0,0.0,0.98220676,0.018368753
2550,-942.2397779045187,123,6876,20,20,0,0.0,0.9820147,0.018273093
2551,-1303.1481855088978,123,6884,20,20,0,0.0,0.989202,0.011678119
2552,-928.5261728860532,123,6889,20,20,0,0.0,0.9877099,0.011772091
2553,-1183.843439723444,123,6923,20,20,0,0.0,0.9917184,0.008144962
2554,-938.5820493815362,123,6843,20,20,0,0.0,0.97978467,0.016770223
2555,-1290.3761982709584,123,6870,20,20,0,0.0,0.9852499,0.012004006
2556,-1123.3333580883286,123,6768,20,20,0,0.0,0.98458433,0.015513636
2557,-909.4827356876627,123,6839,20,20,0,0.0,0.9846956,0.012977851
2558,-1476.7923684099708,123,6873,20,20,0,0.0,0.98700225,0.011558427
2559,-1240.7595718006583,123,6828,20,20,0,0.0,0.9831576,0.014660695
2560,-1744.4241785162317,123,6843,20,20,0,0.0,0.98577625,0.013150135
2561,-1101.7853178470475,123,6785,20,20,0,0.0,0.9899288,0.008124693
2562,-1107.6763549185578,123,6817,20,20,0,0.0,0.9797565,0.019782225
2563,-1041.0664970414039,123,6759,20,20,0,0.0,0.980865,0.014071847
2564,-840.8472751331988,123,6780,20,20,0,0.0,0.9869715,0.013114035
2565,-1038.5407855287729,123,6813,20,20,0,0.0,0.96746415,0.02850985
2566,-1044.528534747688,123,6874,20,20,0,0.0,0.99248374,0.006238325
2567,-914.6447120831781,123,6837,20,20,0,0.0,0.98946905,0.009773033
2568,-1044.4959954711294,123,6854,20,20,0,0.0,0.99022466,0.007186242
2569,-1028.1931247845466,123,6886,20,20,0,0.0,0.9675186,0.03652376
2570,-1303.034515432214,123,6777,20,20,0,0.0,0.9799321,0.024917062
2571,-1185.9223152536351,123,6871,20,20,0,0.0,0.9820502,0.014386728
2572,-946.3595709472422,123,6798,20,20,0,0.0,0.97916055,0.017824793
2573,-938.27753521975,123,6857,20,20,0,0.0,0.98940253,0.008815838
2574,-1156.0502125520372,123,6785,20,20,0,0.0,0.9752886,0.025514692
2575,-925.9042160740701,123,6862,20,20,0,0.0,0.98246384,0.017644903
2576,-1157.954566536386,123,6830,20,20,0,0.0,0.992777,0.007162089
