episode,total_reward,steps,makespan,completed_jobs,fully_completed_jobs,met_deadlines,deadline_ratio,avg_machine_util,machine_util_std
1,918.8637122914532,65,3191.0,10,10,0,0.0,0.7456388,0.35287395
2,912.7506331790654,65,3186.0,10,10,0,0.0,0.77725464,0.30332258
3,901.4493130963003,65,3201.0,10,10,0,0.0,0.85431635,0.19617118
4,946.6298197552098,65,3186.0,10,10,0,0.0,0.79545933,0.2817519
5,916.9858829695359,65,3171.0,10,10,0,0.0,0.7975402,0.26303852
6,919.5795095602696,65,3211.0,10,10,0,0.0,0.7949756,0.27727395
7,920.7951562652084,65,3186.0,10,10,0,0.0,0.79064655,0.2850454
8,908.3067080833512,65,3201.0,10,10,0,0.0,0.8026658,0.27225342
9,932.6141697127375,65,3206.0,10,10,0,0.0,0.8839676,0.15427603
10,922.9102457336676,65,3176.0,10,10,0,0.0,0.9298909,0.0840475
