step,selected_job_id,selected_job_priority,selected_job_deadline,operation_id,machine_id,processing_time,material,action_probability,reward,current_time,makespan,total_available_jobs,highest_priority_available,priority_rank_selected,is_highest_priority_selected,setup_time,job_completed,available_jobs
107,J20,9,2831,OP5,M3,40,E-Bike_Rahmen_nachbearbeitet,0.13543006777763367,13.339305048409976,5909.0,5909,8,9,2,False,24,True,J5(P9); J20(P9); J17(P8); J3(P7); J11(P6); J14(P3); J15(P3); J2(P2)
108,J11,6,2880,OP4,M1,21,Mountainbike_Hinterbau_vorbereitet,0.1661680042743683,-20.09864616394043,5973.0,5973,7,9,4,False,40,False,J5(P9); J17(P8); J3(P7); J11(P6); J14(P3); J15(P3); J2(P2)
109,J11,6,2880,OP5,M2,18,Mountainbike_Rahmen_lackiert,0.16618816554546356,-12.485097885131836,6034.0,6034,7,9,4,False,20,False,J5(P9); J17(P8); J3(P7); J11(P6); J14(P3); J15(P3); J2(P2)
110,J2,2,2730,OP5,M2,13,Mountainbike_Steuerrohr_montiert,0.17737725377082825,-18.376794815063477,6072.0,6072,7,9,7,False,20,True,J5(P9); J17(P8); J3(P7); J11(P6); J14(P3); J15(P3); J2(P2)
111,J3,7,2785,OP5,M2,18,Racebike_Rahmen_lackiert,0.18730227649211884,-15.382522583007812,6105.0,6105,6,9,3,False,24,False,J5(P9); J17(P8); J3(P7); J11(P6); J14(P3); J15(P3)
112,J17,8,2880,OP6,M3,44,E-Bike_Steuerrohr_montiert,0.1550496518611908,-12.019274711608887,6147.0,6147,6,9,2,False,15,False,J5(P9); J17(P8); J3(P7); J11(P6); J14(P3); J15(P3)
113,J17,8,2880,OP7,M2,22,E-Bike_Rahmen_lackiert,0.15505200624465942,-15.73809814453125,6206.0,6206,6,9,2,False,28,False,J5(P9); J17(P8); J3(P7); J11(P6); J14(P3); J15(P3)
114,J5,9,2828,OP4,M2,25,E-Bike_Tretlager_gefraest,0.12722383439540863,-14.839176177978516,6256.0,6256,6,9,1,True,20,False,J5(P9); J17(P8); J3(P7); J11(P6); J14(P3); J15(P3)
115,J3,7,2785,OP6,M1,31,Racebike_Tretlager_gefraest,0.18726003170013428,-17.508081436157227,6301.0,6301,6,9,3,False,35,False,J5(P9); J17(P8); J3(P7); J11(P6); J14(P3); J15(P3)
116,J5,9,2828,OP5,M1,19,E-Bike_Fahrrad_endmontiert,0.12728999555110931,-21.659305572509766,6367.0,6367,6,9,1,True,47,False,J5(P9); J17(P8); J3(P7); J11(P6); J14(P3); J15(P3)
117,J3,7,2785,OP7,M2,24,Racebike_Steuerrohr_ausgerieben,0.18729153275489807,-1.7491722106933594,6433.0,6433,6,9,3,False,26,True,J5(P9); J17(P8); J3(P7); J11(P6); J14(P3); J15(P3)
118,J15,3,2846,OP6,M2,12,Mountainbike_Steuerrohr_ausgerieben,0.22087615728378296,-18.267513275146484,6483.0,6483,5,9,5,False,25,True,J5(P9); J17(P8); J11(P6); J14(P3); J15(P3)
119,J11,6,2880,OP6,M1,30,Mountainbike_Steuerrohr_montiert,0.31905558705329895,-14.49077033996582,6520.0,6520,4,9,3,False,53,True,J5(P9); J17(P8); J11(P6); J14(P3)
120,J17,8,2880,OP8,M3,60,E-Bike_Rahmen_komplettiert,0.3595964014530182,11.570279026031493,6603.0,6603,3,9,2,False,15,True,J5(P9); J17(P8); J14(P3)
121,J14,3,2880,OP6,M1,15,Citybike_Fahrrad_endmontiert,0.5391359925270081,-18.94084930419922,6678.0,6678,2,9,2,False,39,False,J5(P9); J14(P3)
122,J14,3,2880,OP7,M1,25,Citybike_Rahmen_komplettiert,0.539134681224823,-22.271650314331055,6732.0,6732,2,9,2,False,40,True,J5(P9); J14(P3)
123,J5,9,2828,OP6,M2,19,E-Bike_Hinterbau_vorbereitet,1.0,20.452287835926448,6797.0,6797,1,9,1,True,28,True,J5(P9)
