episode,step,job_idx,operation_id,reward,makespan,current_time,setup_time,job_completed,reward_makespan_reward,reward_setup_reward,reward_deadline_reward,reward_priority_reward,reward_critical_job_reward,reward_placement_reward,reward_timeliness_reward,reward_machine_idle_penalty
1,1,2,J3:OP1,8.551761627197266,34,34.0,0,False,-0.17,0.0,0.0,0.0,0.5,0.0,9.1717615,-0.9500000000000001
1,2,19,J20:OP1,-3.5274360179901123,93,93.0,40,False,-0.46499999999999997,-10.0,0.0,0.0,0.5,0.0,18.364326,-3.3750000000000004
1,3,13,J14:OP1,-4.956425666809082,151,151.0,40,False,-0.7549999999999999,-20.0,0.0,0.0,0.5,0.0,27.5729,-7.250000000000001
1,4,5,J6:OP1,-6.42416524887085,227,227.0,40,False,-1.1349999999999998,-30.0,0.0,0.0,1.0,0.0,36.803734,-13.025000000000002
1,5,1,J2:OP1,-8.208784103393555,283,283.0,40,False,-1.4149999999999998,-40.0,0.0,0.0,1.0,0.0,46.04995,-20.200000000000003
1,6,2,J3:OP2,5.564769268035889,303,303.0,0,False,-1.515,-40.0,0.0,0.0,1.5,0.0,55.30222,-24.2875
1,7,19,J20:OP2,-1.1674909591674805,348,348.0,20,False,-1.74,-45.0,0.0,0.0,1.5,0.0,64.57223,-29.5
1,8,6,J7:OP1,-6.869919300079346,423,423.0,40,False,-2.115,-55.0,0.0,0.0,2.0,0.0,73.85231,-35.775
1,9,1,J2:OP2,-1.9511585235595703,453,453.0,20,False,-2.265,-60.0,0.0,0.0,2.0,0.0,83.13865,-41.8625
1,10,10,J11:OP1,-8.542985916137695,524,524.0,40,False,-2.62,-70.0,0.0,0.0,2.0,0.0,92.43816,-49.349999999999994
1,11,1,J2:OP3,7.576512813568115,552,552.0,0,False,-2.7600000000000002,-70.0,0.0,0.0,2.0,0.0,101.74218,-50.93749999999999
1,12,1,J2:OP4,2.7298202514648438,593,593.0,20,False,-2.9650000000000003,-75.0,0.0,0.0,2.0,0.0,111.052,-52.31249999999999
1,13,0,J1:OP1,-3.5852577686309814,673,673.0,40,False,-3.365,-85.0,0.0,0.0,2.0,0.0,120.37924,-54.824999999999996
1,14,3,J4:OP1,-0.9278595447540283,723,723.0,25,False,-3.615,-91.25,0.0,0.0,2.0,0.0,129.71388,-58.5875
1,15,9,J10:OP1,-1.9002437591552734,780,780.0,25,False,-3.9000000000000004,-97.5,0.0,0.0,2.5,0.0,139.03613,-63.775
1,16,6,J7:OP2,0.6812050342559814,823,823.0,20,False,-4.115,-102.5,0.0,0.0,3.0,0.0,148.35733,-67.7
1,17,10,J11:OP2,-0.5957775115966797,856,856.0,20,False,-4.28,-107.5,0.0,0.0,3.0,0.0,157.67656,-72.45
1,18,10,J11:OP3,4.303840637207031,908,908.0,10,False,-4.54,-110.0,0.0,0.0,3.0,0.0,166.9904,-74.7
1,19,8,J9:OP1,-3.2504544258117676,988,988.0,40,False,-4.94,-120.0,0.0,0.0,3.5,0.0,176.28995,-77.35000000000001
1,20,11,J12:OP1,-5.497490882873535,1059,1059.0,40,False,-5.295,-130.0,0.0,0.0,3.5,0.0,185.57245,-81.775
1,21,6,J7:OP3,2.3084428310394287,1098,1098.0,15,False,-5.49,-133.75,0.0,0.0,4.0,0.0,194.8384,-85.28750000000001
1,22,6,J7:OP4,2.9702138900756836,1141,1141.0,20,False,-5.705,-138.75,0.0,0.0,4.5,0.0,204.0861,-86.85000000000001
1,23,13,J14:OP2,1.5874757766723633,1177,1177.0,20,False,-5.885,-143.75,0.0,0.0,4.5,0.0,213.31609,-89.31250000000001
1,24,13,J14:OP3,2.874216079711914,1214,1214.0,15,False,-6.069999999999999,-147.5,0.0,0.0,4.5,0.0,222.5253,-91.71250000000002
1,25,6,J7:OP5,1.3620624542236328,1260,1260.0,20,False,-6.3,-152.5,0.0,0.0,5.0,0.0,231.70486,-94.80000000000003
1,26,2,J3:OP3,1.1738715171813965,1333,1333.0,15,False,-6.665,-156.25,0.0,0.0,5.5,0.0,240.83124,-99.13750000000003
1,27,11,J12:OP2,-0.5972208976745605,1375,1375.0,20,False,-6.875,-161.25,0.0,0.0,5.5,0.0,249.91902,-103.61250000000003
1,28,13,J14:OP4,-1.5695090293884277,1413,1413.0,20,False,-7.065,-166.25,0.0,0.0,5.5,0.0,258.9645,-109.03750000000002
1,29,13,J14:OP5,-2.9057650566101074,1462,1462.0,20,False,-7.3100000000000005,-171.25,0.0,0.0,5.5,0.0,267.95374,-115.68750000000003
1,30,6,J7:OP6,-3.3494796752929688,1500,1500.0,20,False,-7.500000000000001,-176.25,0.0,0.0,6.0,0.0,276.89426,-123.28750000000002
1,31,8,J9:OP2,-4.290012836456299,1536,1536.0,20,False,-7.680000000000001,-181.25,0.0,0.0,6.5,0.0,285.78424,-131.78750000000002
1,32,19,J20:OP3,-2.019843101501465,1575,1575.0,15,False,-7.875000000000001,-185.0,0.0,0.0,6.5,0.0,294.6469,-138.72500000000002
1,33,7,J8:OP1,-3.4996657371520996,1634,1634.0,40,False,-8.170000000000002,-195.0,0.0,0.0,6.5,0.0,303.40475,-140.68750000000003
1,34,6,J7:OP7,2.374516725540161,1669,1669.0,20,False,-8.345000000000002,-200.0,0.0,0.0,7.0,0.0,312.06677,-142.30000000000004
1,35,10,J11:OP4,3.288294553756714,1706,1706.0,15,False,-8.530000000000003,-203.75,0.0,0.0,7.0,0.0,320.65256,-143.66250000000005
1,36,10,J11:OP5,1.7309398651123047,1760,1760.0,15,False,-8.800000000000002,-207.5,0.0,0.0,7.0,0.0,329.116,-146.37500000000006
1,37,9,J10:OP2,0.925792932510376,1805,1805.0,20,False,-9.025000000000002,-212.5,0.0,0.0,7.5,0.0,337.4668,-149.07500000000005
1,38,17,J18:OP1,-4.243910789489746,1867,1867.0,40,False,-9.335000000000003,-222.5,0.0,0.0,7.5,0.0,345.6454,-151.18750000000006
1,39,11,J12:OP3,1.6717419624328613,1927,1927.0,15,False,-9.635000000000003,-226.25,0.0,0.0,7.5,0.0,353.64212,-153.46250000000006
1,40,19,J20:OP4,0.1349489688873291,1983,1983.0,15,False,-9.915000000000003,-230.0,0.0,0.0,7.5,0.0,361.48206,-157.13750000000007
1,41,2,J3:OP4,0.16593718528747559,2033,2033.0,20,False,-10.165000000000003,-235.0,0.0,0.0,8.0,0.0,369.098,-159.83750000000006
1,42,12,J13:OP1,-5.777978420257568,2114,2114.0,40,False,-10.570000000000002,-245.0,0.0,0.0,8.0,0.0,376.375,-162.48750000000007
1,43,10,J11:OP6,-0.6447148323059082,2151,2151.0,20,False,-10.755000000000003,-250.0,0.0,0.0,8.0,0.0,383.47778,-165.05000000000007
1,44,1,J2:OP5,-0.5676820278167725,2190,2190.0,15,False,-10.950000000000003,-253.75,0.0,0.0,8.0,0.0,390.3926,-168.58750000000006
1,45,5,J6:OP2,-2.279644012451172,2223,2223.0,20,False,-11.115000000000002,-258.75,0.0,0.0,8.5,0.0,397.14047,-172.95000000000007
