episode,step,job_idx,operation_id,reward,makespan,current_time,setup_time,job_completed,reward_makespan_reward,reward_setup_reward,reward_idle_penalty,reward_deadline_reward,reward_priority_reward,reward_critical_job_reward,reward_global_progress_reward,reward_placement_reward,reward_lookahead_reward,reward_timeliness_reward,reward_machine_idle_penalty,reward_credit_assignment_penalty
1,1,9,J10:OP1,27.40437199341923,32,32.0,0,False,-0.16,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,19.464371993419228,-0.9,0.0
1,2,9,J10:OP2,33.312579279944664,57,57.0,0,False,-0.28500000000000003,0.0,0.0,0.0,0.0,0.0,0.0,18.0,6.2,38.82695127336389,-2.0250000000000004,0.0
1,3,17,J18:OP1,7.831466683861082,119,119.0,40,False,-0.595,-10.0,0.0,0.0,0.0,0.0,0.0,20.0,6.2,57.33091795722497,-4.387500000000001,0.0
1,4,12,J13:OP1,15.084911309628893,200,200.0,40,False,-1.0,-20.0,0.0,0.0,0.0,0.0,0.0,26.0,12.600000000000001,74.80832926685386,-8.775000000000002,0.0
1,5,14,J15:OP1,11.67182710755584,263,263.0,40,False,-1.315,-30.0,0.0,0.0,0.0,0.0,0.0,32.0,19.0,90.3576563744097,-14.737500000000002,0.0
1,6,12,J13:OP2,19.781748245401786,306,306.0,20,False,-1.53,-35.0,0.0,0.0,0.0,0.0,0.0,38.0,25.2,107.56690461981148,-19.150000000000002,0.0
1,7,8,J9:OP1,10.00009828173054,386,386.0,40,False,-1.9300000000000002,-45.0,0.0,0.0,0.0,0.0,0.0,44.0,31.4,121.64200290154201,-25.025000000000002,0.0
1,8,8,J9:OP2,16.818905663216057,422,422.0,20,False,-2.1100000000000003,-50.0,0.0,0.0,0.0,0.0,0.0,50.0,37.6,137.21590856475808,-30.800000000000004,0.0
1,9,3,J4:OP1,8.184522385959976,487,487.0,40,False,-2.4350000000000005,-60.0,0.0,0.0,0.0,0.0,0.0,56.0,43.800000000000004,150.47543095071805,-37.75000000000001,0.0
1,10,0,J1:OP1,12.943750219815003,552,552.0,25,False,-2.7600000000000007,-66.25,0.0,0.0,0.0,0.0,0.0,65.0,50.00000000000001,163.36918117053307,-46.32500000000001,0.0
1,11,12,J13:OP3,27.171726552412125,605,605.0,0,False,-3.025000000000001,-66.25,0.0,0.0,0.0,0.0,0.0,74.0,56.20000000000001,178.5559077229452,-49.27500000000001,0.0
1,12,2,J3:OP1,9.871587679808677,679,679.0,40,False,-3.395000000000001,-76.25,0.0,0.0,0.0,0.0,0.0,80.0,62.40000000000001,190.73499540275387,-53.412500000000016,0.0
1,13,8,J9:OP3,16.684232383211473,748,748.0,15,False,-3.740000000000001,-80.0,0.0,0.0,0.0,0.0,0.0,86.0,68.80000000000001,204.10172778596535,-58.40000000000001,0.0
1,14,3,J4:OP2,17.105291278176935,783,783.0,20,False,-3.915000000000001,-85.0,0.0,0.0,0.0,0.0,0.0,92.0,75.20000000000002,215.71951906414228,-60.13750000000001,0.0
