episode,step,job_idx,completion_time,deadline_met
1,15,15,762.0,False
1,29,4,1453.0,False
1,35,12,1772.0,False
1,38,17,1881.0,False
1,63,16,3063.0,False
1,66,10,3196.0,False
1,81,9,3857.0,False
1,85,19,4041.0,False
1,87,3,4126.0,False
1,89,13,4200.0,False
1,96,11,4549.0,False
1,98,1,4624.0,False
1,109,18,5106.0,False
1,111,2,5204.0,False
1,116,7,5466.0,False
1,117,5,5522.0,False
1,124,8,5860.0,False
1,130,14,6115.0,False
1,131,6,6160.0,False
1,134,0,6272.0,False
2,29,4,1395.0,False
2,41,17,1929.0,False
2,48,12,2291.0,False
2,57,14,2716.0,False
2,65,10,3088.0,False
2,68,18,3239.0,False
2,81,15,3860.0,False
2,90,16,4267.0,False
2,103,0,4949.0,False
2,104,19,5004.0,False
2,106,7,5098.0,False
2,107,13,5134.0,False
2,108,3,5175.0,False
2,118,2,5640.0,False
2,123,1,5803.0,False
2,127,6,5957.0,False
2,128,9,5984.0,False
2,130,8,6078.0,False
2,131,5,6134.0,False
2,134,11,6267.0,False
3,18,4,848.0,False
3,28,12,1389.0,False
3,38,17,1879.0,False
3,43,10,2104.0,False
3,64,18,3049.0,False
3,67,14,3229.0,False
3,70,3,3354.0,False
3,71,0,3386.0,False
3,83,15,3974.0,False
3,91,19,4330.0,False
3,94,13,4448.0,False
3,114,2,5359.0,False
3,117,1,5476.0,False
3,119,8,5570.0,False
3,121,9,5633.0,False
3,124,6,5772.0,False
3,125,5,5828.0,False
3,127,7,5924.0,False
3,133,16,6225.0,False
3,134,11,6267.0,False
