episode,step,job_idx,operation_id,reward,makespan,current_time,setup_time,job_completed,reward_makespan_reward,reward_setup_reward,reward_idle_penalty,reward_deadline_reward,reward_priority_reward,reward_critical_job_reward,reward_global_progress_reward,reward_placement_reward,reward_lookahead_reward,reward_timeliness_reward,reward_machine_idle_penalty,reward_credit_assignment_penalty
1,29,4,J5:OP6,36.008029715080674,1453,1453.0,20,True,-7.265000000000001,-162.5,0.0,40.0,32.0,0.0,8.0,136.0,187.20000000000005,386.18578957657394,-85.66249999999998,0.0
1,30,13,J14:OP3,15.12101281961102,1485,1485.0,10,False,-7.425000000000001,-165.0,0.0,40.0,32.0,0.0,9.0,141.0,194.00000000000006,393.82930239618497,-88.32499999999997,0.0
1,31,12,J13:OP4,14.017884632984462,1527,1527.0,20,False,-7.635000000000001,-170.0,0.0,40.0,32.0,0.0,10.0,147.0,200.80000000000007,402.5696870291694,-91.63749999999997,0.0
1,32,2,J3:OP1,8.045750184644604,1601,1601.0,40,False,-8.005,-180.0,0.0,40.0,32.0,0.0,11.0,153.0,207.60000000000008,409.560437213814,-94.01249999999997,0.0
1,33,19,J20:OP1,2.3137416030668594,1660,1660.0,40,False,-8.3,-190.0,0.0,40.0,32.0,0.0,12.0,155.0,214.4000000000001,416.21917881688086,-97.86249999999997,0.0
1,34,16,J17:OP3,13.728641982907188,1704,1704.0,10,False,-8.520000000000001,-192.5,0.0,40.0,32.0,0.0,13.0,160.0,221.2000000000001,422.630320799788,-100.62499999999997,0.0
1,35,12,J13:OP5,61.300263260245266,1772,1772.0,15,True,-8.860000000000001,-196.25,0.0,60.0,60.0,0.0,14.5,166.0,228.0000000000001,430.1830840600333,-105.08749999999998,0.0
1,36,16,J17:OP4,6.85527019660254,1813,1813.0,15,False,-9.065000000000001,-200.0,0.0,60.0,60.0,0.0,16.0,168.0,235.0000000000001,435.98085425663584,-110.57499999999997,0.0
1,37,3,J4:OP2,11.938315953293708,1848,1848.0,20,False,-9.240000000000002,-205.0,0.0,60.0,60.0,0.0,17.5,174.0,241.80000000000013,441.58167020992954,-113.36249999999997,0.0
1,38,17,J18:OP5,53.02511623817396,1881,1881.0,20,True,-9.405000000000001,-210.0,0.0,80.0,84.0,0.0,19.5,176.0,248.80000000000013,448.38428644810347,-116.97499999999997,0.0
