episode,step,machine_idx,machine_time,current_time,utilization
1,1,0,41,41.0,1.0
1,1,1,0,41.0,0.0
1,1,2,0,41.0,0.0
1,2,0,107,107.0,1.0
1,2,1,0,107.0,0.0
1,2,2,0,107.0,0.0
1,3,0,157,157.0,1.0
1,3,1,0,157.0,0.0
1,3,2,0,157.0,0.0
1,4,0,231,231.0,1.0
1,4,1,0,231.0,0.0
1,4,2,0,231.0,0.0
1,5,0,231,246.0,0.9390244
1,5,1,246,246.0,1.0
1,5,2,0,246.0,0.0
1,6,0,231,286.0,0.8076923
1,6,1,286,286.0,1.0
1,6,2,0,286.0,0.0
1,7,0,231,324.0,0.712963
1,7,1,324,324.0,1.0
1,7,2,0,324.0,0.0
1,8,0,231,359.0,0.643454
1,8,1,359,359.0,1.0
1,8,2,0,359.0,0.0
1,9,0,435,435.0,1.0
1,9,1,359,435.0,0.82528734
1,9,2,0,435.0,0.0
1,10,0,435,465.0,0.9354839
1,10,1,359,465.0,0.772043
1,10,2,465,465.0,1.0
1,11,0,543,543.0,1.0
1,11,1,359,543.0,0.6611418
1,11,2,465,543.0,0.8563536
1,12,0,543,611.0,0.88870704
1,12,1,359,611.0,0.58756137
1,12,2,611,611.0,1.0
1,13,0,543,679.0,0.79970545
1,13,1,359,679.0,0.5287187
1,13,2,679,679.0,1.0
1,14,0,543,734.0,0.73978204
1,14,1,359,734.0,0.4891008
1,14,2,734,734.0,1.0
1,15,0,543,784.0,0.69260204
1,15,1,784,784.0,1.0
1,15,2,734,784.0,0.93622446
1,16,0,543,821.0,0.6613886
1,16,1,821,821.0,1.0
1,16,2,734,821.0,0.89403164
1,17,0,543,857.0,0.6336056
1,17,1,857,857.0,1.0
1,17,2,734,857.0,0.85647607
1,18,0,543,891.0,0.60942763
1,18,1,891,891.0,1.0
1,18,2,734,891.0,0.8237935
1,19,0,543,929.0,0.5844995
1,19,1,929,929.0,1.0
1,19,2,734,929.0,0.7900969
1,20,0,543,963.0,0.5638629
1,20,1,963,963.0,1.0
1,20,2,734,963.0,0.7622014
1,21,0,543,1003.0,0.5413759
1,21,1,1003,1003.0,1.0
1,21,2,734,1003.0,0.7318046
1,22,0,543,1033.0,0.5256534
1,22,1,1033,1033.0,1.0
1,22,2,734,1033.0,0.7105518
1,23,0,1076,1076.0,1.0
1,23,1,1033,1076.0,0.9600372
1,23,2,734,1076.0,0.68215615
1,24,0,1120,1120.0,1.0
1,24,1,1033,1120.0,0.92232144
1,24,2,734,1120.0,0.6553571
1,25,0,1196,1196.0,1.0
1,25,1,1033,1196.0,0.8637124
1,25,2,734,1196.0,0.6137124
1,26,0,1196,1231.0,0.9715678
1,26,1,1231,1231.0,1.0
1,26,2,734,1231.0,0.59626323
1,27,0,1294,1294.0,1.0
1,27,1,1231,1294.0,0.95131373
1,27,2,734,1294.0,0.5672334
1,28,0,1374,1374.0,1.0
1,28,1,1231,1374.0,0.8959243
1,28,2,734,1374.0,0.5342067
