episode,step,job_idx,operation_id,reward,makespan,current_time,setup_time,job_completed,reward_makespan_reward,reward_setup_reward,reward_deadline_reward,reward_priority_reward,reward_critical_job_reward,reward_placement_reward,reward_timeliness_reward,reward_machine_idle_penalty
1,1,0,J1:OP1,7.816981792449951,42,42.0,0,False,-0.21,0.0,0.0,0.0,0.0,0.0,9.176982,-1.1500000000000001
1,2,0,J1:OP2,7.663511276245117,72,72.0,0,False,-0.36,0.0,0.0,0.0,0.0,0.0,18.365494,-2.5250000000000004
1,3,0,J1:OP3,-3.944923162460327,144,144.0,40,False,-0.72,-10.0,0.0,0.0,0.0,0.0,27.58057,-5.325000000000001
1,4,0,J1:OP4,6.7231645584106445,196,196.0,0,False,-0.98,-10.0,0.0,0.0,0.0,0.0,36.813736,-7.575000000000001
1,5,0,J1:OP5,1.788602352142334,243,243.0,15,False,-1.215,-13.75,0.0,0.0,0.0,0.0,46.06234,-11.05
1,6,0,J1:OP6,1.7734770774841309,283,283.0,20,False,-1.415,-18.75,0.0,0.0,0.0,0.0,55.32332,-13.3375
1,7,0,J1:OP7,31.129581433899713,341,341.0,40,True,-1.705,-28.75,20.0,12.0,0.0,0.0,56.6929,-15.287500000000001
