episode,step,machine_idx,machine_time,current_time,utilization
1,1,0,42,42.0,1.0
1,1,1,0,42.0,0.0
1,1,2,0,42.0,0.0
1,2,0,42,72.0,0.5833333
1,2,1,72,72.0,1.0
1,2,2,0,72.0,0.0
1,3,0,144,144.0,1.0
1,3,1,72,144.0,0.5
1,3,2,0,144.0,0.0
1,4,0,144,196.0,0.7346939
1,4,1,72,196.0,0.36734694
1,4,2,196,196.0,1.0
1,5,0,144,243.0,0.5925926
1,5,1,72,243.0,0.2962963
1,5,2,243,243.0,1.0
1,6,0,144,283.0,0.50883394
1,6,1,283,283.0,1.0
1,6,2,243,283.0,0.85865724
1,7,0,341,341.0,1.0
1,7,1,283,341.0,0.829912
1,7,2,243,341.0,0.71260995
