episode,step,job_idx,completion_time,deadline_met
1,22,5,1134.0,False
1,24,2,1200.0,False
1,43,16,2194.0,False
1,47,7,2425.0,False
1,49,15,2517.0,False
1,50,12,2585.0,False
1,74,19,3711.0,False
1,81,13,3981.0,False
1,82,14,4037.0,False
1,83,9,4069.0,False
1,93,18,4515.0,False
1,99,8,4768.0,False
1,105,3,5009.0,False
1,118,0,5586.0,False
1,121,6,5699.0,False
1,124,10,5829.0,False
1,125,1,5865.0,False
1,130,4,6106.0,False
1,131,17,6134.0,False
1,134,11,6267.0,False
2,20,2,945.0,False
2,36,12,1724.0,False
2,40,15,1946.0,False
2,52,7,2604.0,False
2,54,5,2710.0,False
2,70,19,3484.0,False
2,78,13,3869.0,False
2,80,16,3943.0,False
2,82,9,4006.0,False
2,100,3,4771.0,False
2,105,14,5022.0,False
2,108,0,5130.0,False
2,109,1,5166.0,False
2,115,10,5454.0,False
2,117,4,5539.0,False
2,121,8,5713.0,False
2,122,17,5746.0,False
2,127,6,5960.0,False
2,132,11,6181.0,False
2,134,18,6267.0,False
3,23,12,1223.0,False
3,46,7,2365.0,False
3,50,15,2577.0,False
3,53,2,2723.0,False
3,58,5,2948.0,False
3,70,9,3442.0,False
3,74,19,3639.0,False
3,81,13,3955.0,False
3,88,14,4270.0,False
3,94,0,4553.0,False
3,98,16,4720.0,False
3,106,3,5065.0,False
3,113,8,5390.0,False
3,117,6,5544.0,False
3,118,10,5593.0,False
3,120,1,5668.0,False
3,124,4,5830.0,False
3,127,18,5962.0,False
3,132,11,6179.0,False
3,134,17,6277.0,False
