episode,step,job_idx,completion_time,deadline_met
4863,42,4,2330.0,False
4863,65,10,3720.0,False
4863,66,6,3784.0,False
4863,71,13,4084.0,False
4863,72,14,4122.0,False
4863,82,18,4716.0,False
4863,85,19,4889.0,False
4863,88,17,5053.0,False
4863,95,5,5369.0,False
4863,97,9,5520.0,False
4863,102,0,5810.0,False
4863,103,15,5859.0,False
4863,105,3,5981.0,False
4863,106,2,6029.0,False
4863,109,7,6145.0,False
4863,115,12,6466.0,False
4863,118,8,6564.0,False
4863,119,11,6661.0,False
4863,122,1,6817.0,False
4863,123,16,6892.0,False
4864,42,17,2298.0,False
4864,46,9,2535.0,False
4864,56,6,3156.0,False
4864,64,4,3598.0,False
4864,65,12,3637.0,False
4864,67,8,3703.0,False
4864,73,1,4002.0,False
4864,84,19,4700.0,False
4864,87,3,4882.0,False
4864,90,18,5045.0,False
4864,94,5,5211.0,False
4864,96,13,5331.0,False
4864,101,0,5654.0,False
4864,108,7,6003.0,False
4864,112,2,6233.0,False
4864,114,14,6307.0,False
4864,118,15,6518.0,False
4864,119,10,6588.0,False
4864,120,16,6663.0,False
4864,123,11,6833.0,False
4865,42,4,2359.0,False
4865,51,6,2910.0,False
4865,60,17,3403.0,False
4865,81,0,4487.0,False
4865,84,9,4689.0,False
4865,86,8,4768.0,False
4865,92,7,5118.0,False
4865,94,11,5251.0,False
4865,95,3,5309.0,False
4865,102,2,5651.0,False
4865,104,19,5752.0,False
4865,105,14,5784.0,False
4865,106,18,5851.0,False
4865,108,5,5966.0,False
4865,109,1,6004.0,False
4865,115,10,6314.0,False
4865,116,12,6353.0,False
4865,118,15,6451.0,False
4865,119,13,6516.0,False
4865,123,16,6794.0,False
4866,43,9,2489.0,False
4866,48,14,2772.0,False
4866,51,4,2904.0,False
4866,65,1,3618.0,False
4866,71,7,3951.0,False
4866,81,19,4501.0,False
4866,84,12,4633.0,False
4866,89,17,4916.0,False
4866,90,11,4998.0,False
4866,96,6,5379.0,False
4866,99,15,5541.0,False
4866,100,5,5576.0,False
4866,104,13,5813.0,False
4866,106,10,5938.0,False
4866,109,0,6068.0,False
4866,112,3,6235.0,False
4866,113,2,6279.0,False
4866,116,8,6409.0,False
4866,121,18,6746.0,False
4866,123,16,6879.0,False
4867,30,9,1699.0,False
4867,43,4,2437.0,False
4867,54,14,3024.0,False
4867,64,17,3687.0,False
4867,68,8,3879.0,False
4867,72,6,4128.0,False
4867,73,13,4196.0,False
4867,86,19,4888.0,False
4867,91,7,5120.0,False
4867,103,15,5714.0,False
4867,104,1,5747.0,False
4867,110,12,6018.0,False
4867,111,5,6044.0,False
4867,113,10,6216.0,False
4867,115,0,6312.0,False
4867,116,11,6381.0,False
4867,117,2,6425.0,False
4867,118,18,6481.0,False
4867,120,3,6603.0,False
4867,123,16,6796.0,False
4868,37,8,1911.0,False
4868,48,12,2482.0,False
4868,50,9,2614.0,False
4868,58,1,3074.0,False
4868,72,4,3876.0,False
4868,74,19,3981.0,False
4868,77,15,4113.0,False
4868,88,17,4753.0,False
4868,93,6,5042.0,False
4868,95,18,5178.0,False
4868,99,13,5413.0,False
4868,102,11,5593.0,False
4868,107,0,5854.0,False
4868,112,2,6130.0,False
