episode,step,job_idx,operation_id,reward,makespan,current_time,setup_time,job_completed,reward_makespan_reward,reward_setup_reward,reward_deadline_reward,reward_priority_reward,reward_critical_job_reward,reward_placement_reward,reward_timeliness_reward,reward_machine_idle_penalty
4863,1,5,J6:OP1,8.700319290161133,29,29.0,0,False,-0.145,0.0,0.0,0.0,0.5,0.0,9.17032,-0.8250000000000001
4863,2,2,J3:OP1,7.640071868896484,65,65.0,0,False,-0.32499999999999996,0.0,0.0,0.0,0.5,0.0,18.352892,-2.1875000000000004
4863,3,4,J5:OP1,0.4341754913330078,110,110.0,28,False,-0.5499999999999999,-7.0,0.0,0.0,1.0,0.0,27.549568,-4.2250000000000005
4863,4,13,J14:OP1,-1.385850429534912,162,162.0,28,False,-0.8099999999999999,-14.0,0.0,0.0,1.0,0.0,36.76122,-7.562500000000001
4863,5,4,J5:OP2,7.470333576202393,195,195.0,0,False,-0.975,-14.0,0.0,0.0,1.5,0.0,45.984055,-9.65
4863,6,18,J19:OP1,1.4484939575195312,232,232.0,20,False,-1.16,-19.0,0.0,0.0,1.5,0.0,55.21755,-12.25
4863,7,2,J3:OP2,-0.7316803932189941,278,278.0,24,False,-1.39,-25.0,0.0,0.0,1.5,0.0,64.465866,-16.0
4863,8,2,J3:OP3,-1.64674711227417,343,343.0,25,False,-1.7149999999999999,-31.25,0.0,0.0,1.5,0.0,73.73162,-20.3375
4863,9,3,J4:OP1,0.31795644760131836,374,374.0,20,False,-1.8699999999999999,-36.25,0.0,0.0,2.0,0.0,83.00458,-24.6375
4863,10,1,J2:OP1,-2.7535171508789062,446,446.0,38,False,-2.23,-45.75,0.0,0.0,2.0,0.0,92.29856,-26.825
4863,11,7,J8:OP1,3.4957637786865234,501,501.0,13,False,-2.505,-49.0,0.0,0.0,2.0,0.0,101.59432,-29.099999999999998
4863,12,13,J14:OP2,-4.461086273193359,582,582.0,39,False,-2.91,-58.75,0.0,0.0,2.0,0.0,110.900734,-32.7125
4863,13,19,J20:OP1,-6.5443501472473145,647,647.0,43,False,-3.2350000000000003,-69.5,0.0,0.0,2.5,0.0,120.21889,-38.0
4863,14,4,J5:OP3,-0.3529946804046631,692,692.0,28,False,-3.4600000000000004,-76.5,0.0,0.0,3.0,0.0,129.5409,-40.95
4863,15,10,J11:OP1,-8.989049911499023,781,781.0,53,False,-3.9050000000000002,-89.75,0.0,0.0,3.0,0.0,138.85934,-45.5625
4863,16,18,J19:OP2,-2.2979860305786133,835,835.0,26,False,-4.175000000000001,-96.25,0.0,0.0,3.0,0.0,148.18137,-50.4125
4863,17,6,J7:OP1,1.6966018676757812,883,883.0,24,False,-4.415000000000001,-102.25,0.0,0.0,3.5,0.0,157.49297,-52.2875
