episode,step,job_idx,operation_id,reward,makespan,current_time,setup_time,job_completed,reward_makespan_reward,reward_setup_reward,reward_idle_penalty,reward_deadline_reward,reward_priority_reward,reward_critical_job_reward,reward_placement_reward,reward_lookahead_reward,reward_timeliness_reward,reward_machine_idle_penalty,reward_credit_assignment_penalty
1,31,11,J12:OP7,32.66910725140568,1512,1512.0,20,True,-7.5600000000000005,-165.0,0.0,40.0,32.0,0.0,101.0,175.00000000000009,401.04988597344453,-117.56249999999999,0.0
1,32,12,J13:OP2,5.459604332993353,1555,1555.0,20,False,-7.775,-170.0,0.0,40.0,32.0,0.0,107.0,182.00000000000009,408.29949030643786,-127.13749999999999,0.0
1,33,4,J5:OP5,1.41824112826645,1605,1605.0,20,False,-8.025,-175.0,0.0,40.0,32.0,0.0,109.0,189.20000000000007,416.5927314347043,-137.96249999999998,0.0
1,34,17,J18:OP3,3.9085118784771495,1649,1649.0,15,False,-8.245000000000001,-178.75,0.0,40.0,32.0,0.0,111.0,196.40000000000006,423.4962433131815,-146.18749999999997,0.0
1,35,13,J14:OP5,1.7265722341410807,1698,1698.0,20,False,-8.49,-183.75,0.0,40.0,32.0,0.0,113.0,203.60000000000005,430.16781554732256,-155.08749999999998,0.0
1,36,13,J14:OP6,5.1139009054424225,1743,1743.0,15,False,-8.715,-187.5,0.0,40.0,32.0,0.0,118.0,210.80000000000004,437.131716452765,-165.16249999999997,0.0
1,37,13,J14:OP7,4.1486439549617895,1782,1782.0,15,False,-8.91,-191.25,0.0,40.0,32.0,0.0,123.0,217.80000000000004,444.2753604077268,-176.21249999999998,0.0
1,38,3,J4:OP4,1.910888404318925,1816,1816.0,20,False,-9.08,-196.25,0.0,40.0,32.0,0.0,129.0,225.00000000000003,450.05624881204574,-188.11249999999998,0.0
1,39,2,J3:OP3,3.0175981254176474,1889,1889.0,15,False,-9.445,-200.0,0.0,40.0,32.0,0.0,135.0,232.40000000000003,455.4263469374634,-199.74999999999997,0.0
1,40,4,J5:OP6,22.666808589002603,1931,1931.0,20,True,-9.655000000000001,-205.0,0.0,60.0,36.0,0.0,137.0,239.60000000000002,461.878155526466,-211.52499999999998,0.0
1,41,12,J13:OP3,5.339235395491157,1994,1994.0,10,False,-9.97,-207.5,0.0,60.0,36.0,0.0,146.0,246.8,466.65739092195713,-224.34999999999997,0.0
1,42,13,J14:OP8,28.654628678726212,2035,2035.0,20,True,-10.175,-212.5,0.0,80.0,48.0,0.0,148.0,254.0,472.37951960068335,-237.41249999999997,0.0
1,43,3,J4:OP5,-1.7172093166391171,2080,2080.0,20,False,-10.4,-217.5,0.0,80.0,48.0,0.0,154.0,261.4,476.6748102840442,-251.59999999999997,0.0
1,44,1,J2:OP2,-6.7610272394752595,2110,2110.0,20,False,-10.55,-222.5,0.0,80.0,48.0,0.0,156.0,268.59999999999997,480.80128304456895,-266.53749999999997,0.0
1,45,3,J4:OP6,-3.824618879946865,2154,2154.0,20,False,-10.770000000000001,-227.5,0.0,80.0,48.0,0.0,162.0,275.79999999999995,485.0341641646221,-282.575,0.0
1,46,18,J19:OP1,3.3193736151654782,2209,2209.0,40,False,-11.045000000000002,-237.5,0.0,80.0,48.0,0.0,168.0,283.19999999999993,488.6035377797876,-285.95,0.0
1,47,3,J4:OP7,59.806737941805196,2250,2250.0,15,True,-11.250000000000002,-241.25,0.0,100.0,76.0,0.0,174.0,290.5999999999999,492.6777757215928,-287.66249999999997,0.0
1,48,12,J13:OP4,8.872667838175964,2292,2292.0,20,False,-11.460000000000003,-246.25,0.0,100.0,76.0,0.0,180.0,297.14285714285705,495.7800864169116,-289.22499999999997,0.0
1,49,17,J18:OP4,4.363759351558301,2362,2362.0,15,False,-11.810000000000002,-250.0,0.0,100.0,76.0,0.0,182.0,303.6857142857142,498.4884886256128,-292.0125,0.0
1,50,7,J8:OP1,-0.8686063728765867,2421,2421.0,40,False,-12.105000000000002,-260.0,0.0,100.0,76.0,0.0,184.0,311.0857142857142,500.8648822527362,-294.3625,0.0
1,51,8,J9:OP1,6.146335746692726,2486,2486.0,25,False,-12.430000000000001,-266.25,0.0,100.0,76.0,0.0,193.0,316.7714285714285,502.87550371371464,-298.33750000000003,0.0
1,52,17,J18:OP5,47.329167777604724,2519,2519.0,20,True,-12.595,-271.25,0.0,120.0,100.0,0.0,195.0,323.31428571428563,505.2018143484622,-300.71250000000003,0.0
1,53,18,J19:OP2,6.068558541131784,2569,2569.0,20,False,-12.845,-276.25,0.0,120.0,100.0,0.0,201.0,330.7142857142856,506.745372889594,-304.33750000000003,0.0
1,54,18,J19:OP3,8.287849769633876,2606,2606.0,15,False,-13.030000000000001,-280.0,0.0,120.0,100.0,0.0,207.0,337.56428571428563,508.0807226592279,-306.3,0.0
1,55,6,J7:OP1,1.0508049625435238,2681,2681.0,40,False,-13.405000000000001,-290.0,0.0,120.0,100.0,0.0,213.0,344.41428571428565,508.9940276217714,-308.6375,0.0
1,56,8,J9:OP2,6.236080597997297,2717,2717.0,20,False,-13.585,-295.0,0.0,120.0,100.0,0.0,219.0,350.9571428571428,509.7047510769116,-310.47499999999997,0.0
1,57,18,J19:OP4,4.797523740020399,2750,2750.0,20,False,-13.75,-300.0,0.0,120.0,100.0,0.0,225.0,357.0571428571428,510.229774816932,-313.1375,0.0
1,58,18,J19:OP5,3.644314968522493,2787,2787.0,20,False,-13.935,-305.0,0.0,120.0,100.0,0.0,231.0,363.15714285714284,510.54658978545444,-316.72499999999997,0.0
1,59,2,J3:OP4,2.490808906652733,2837,2837.0,20,False,-14.185,-310.0,0.0,120.0,100.0,0.0,237.0,369.7,510.58204154925005,-321.56249999999994,0.0
1,60,12,J13:OP5,32.32332518337409,2905,2905.0,15,True,-14.525,-313.75,0.0,119.96332518337408,128.0,0.0,243.0,375.8,510.58204154925005,-325.2124999999999,0.0
1,61,9,J10:OP1,6.289999999999999,2962,2962.0,25,False,-14.81,-320.0,0.0,119.96332518337408,128.0,0.0,252.0,381.90000000000003,510.58204154925005,-327.4874999999999,0.0
1,62,2,J3:OP5,5.2775,2999,2999.0,20,False,-14.995000000000001,-325.0,0.0,119.96332518337408,128.0,0.0,258.0,388.00000000000006,510.58204154925005,-329.1249999999999,0.0
1,63,18,J19:OP6,8.1325,3035,3035.0,15,False,-15.175,-328.75,0.0,119.96332518337408,128.0,0.0,267.0,393.6000000000001,510.58204154925005,-331.6624999999999,0.0
1,64,10,J11:OP1,-1.6550000000000011,3106,3106.0,40,False,-15.530000000000001,-338.75,0.0,119.96332518337408,128.0,0.0,273.0,399.7000000000001,510.58204154925005,-335.0624999999999,0.0
1,65,15,J16:OP1,-3.580000000000001,3172,3172.0,40,False,-15.860000000000001,-348.75,0.0,119.96332518337408,128.0,0.0,279.0,405.5000000000001,510.58204154925005,-340.1124999999999,0.0
1,66,7,J8:OP2,-1.5275000000000007,3205,3205.0,20,False,-16.025000000000002,-353.75,0.0,119.96332518337408,128.0,0.0,281.0,411.3000000000001,510.58204154925005,-344.2749999999999,0.0
1,67,18,J19:OP7,62.61892126415783,3250,3250.0,20,True,-16.250000000000004,-358.75,0.0,119.49474644753192,160.0,30.0,287.0,416.90000000000015,510.58204154925005,-349.56249999999994,0.0
1,68,1,J2:OP3,1.5849999999999995,3293,3293.0,15,False,-16.465000000000003,-362.5,0.0,119.49474644753192,160.0,30.0,289.0,422.50000000000017,510.58204154925005,-351.61249999999995,0.0
1,69,1,J2:OP4,0.05749999999999966,3334,3334.0,20,False,-16.67,-367.5,0.0,119.49474644753192,160.0,30.0,291.0,428.3000000000002,510.58204154925005,-354.15,0.0
1,70,2,J3:OP6,3.0324999999999998,3375,3375.0,20,False,-16.875,-372.5,0.0,119.49474644753192,160.0,30.0,297.0,434.1000000000002,510.58204154925005,-357.7125,0.0
1,71,6,J7:OP2,1.7474999999999996,3418,3418.0,20,False,-17.09,-377.5,0.0,119.49474644753192,160.0,30.0,303.0,439.7000000000002,510.58204154925005,-362.34999999999997,0.0
1,72,8,J9:OP3,7.1049999999999995,3482,3482.0,10,False,-17.41,-380.0,0.0,119.49474644753192,160.0,30.0,312.0,445.30000000000024,510.58204154925005,-367.025,0.0
1,73,2,J3:OP7,63.25721523410202,3512,3512.0,20,True,-17.56,-385.0,0.0,118.92696168163395,192.0,60.0,318.0,450.90000000000026,510.58204154925005,-371.65,0.0
