episode,step,machine_idx,machine_time,current_time,utilization
1,1,0,0,38.0,0.0
1,1,1,0,38.0,0.0
1,1,2,38,38.0,1.0
1,2,0,0,54.0,0.0
1,2,1,54,54.0,1.0
1,2,2,38,54.0,0.7037037
1,3,0,0,138.0,0.0
1,3,1,54,138.0,0.39130434
1,3,2,138,138.0,1.0
1,4,0,0,176.0,0.0
1,4,1,176,176.0,1.0
1,4,2,138,176.0,0.78409094
1,5,0,0,225.0,0.0
1,5,1,225,225.0,1.0
1,5,2,138,225.0,0.61333334
1,6,0,0,274.0,0.0
1,6,1,274,274.0,1.0
1,6,2,138,274.0,0.50364965
1,7,0,0,308.0,0.0
1,7,1,308,308.0,1.0
1,7,2,138,308.0,0.44805196
1,8,0,0,386.0,0.0
1,8,1,308,386.0,0.79792744
1,8,2,386,386.0,1.0
1,9,0,0,426.0,0.0
1,9,1,308,426.0,0.7230047
1,9,2,426,426.0,1.0
1,10,0,462,462.0,1.0
1,10,1,308,462.0,0.6666667
1,10,2,426,462.0,0.9220779
1,11,0,462,489.0,0.9447853
1,11,1,489,489.0,1.0
1,11,2,426,489.0,0.87116563
1,12,0,462,553.0,0.835443
1,12,1,489,553.0,0.8842676
1,12,2,553,553.0,1.0
1,13,0,462,585.0,0.7897436
1,13,1,585,585.0,1.0
1,13,2,553,585.0,0.94529915
1,14,0,462,637.0,0.72527474
1,14,1,637,637.0,1.0
1,14,2,553,637.0,0.8681319
1,15,0,462,689.0,0.670537
1,15,1,689,689.0,1.0
1,15,2,553,689.0,0.8026125
1,16,0,751,751.0,1.0
1,16,1,689,751.0,0.9174434
1,16,2,553,751.0,0.73635155
1,17,0,751,793.0,0.94703656
1,17,1,793,793.0,1.0
1,17,2,553,793.0,0.6973518
1,18,0,751,843.0,0.890866
1,18,1,843,843.0,1.0
1,18,2,553,843.0,0.6559905
1,19,0,922,922.0,1.0
1,19,1,843,922.0,0.9143167
1,19,2,553,922.0,0.59978306
1,20,0,1024,1024.0,1.0
