episode,step,job_idx,completion_time,deadline_met
1561,21,6,1153.0,False
1561,40,1,2138.0,False
1561,57,15,3174.0,False
1561,67,14,3748.0,False
1561,73,18,4100.0,False
1561,94,8,5204.0,False
1561,95,3,5274.0,False
1561,96,2,5313.0,False
1561,97,4,5360.0,False
1561,98,13,5428.0,False
1561,104,17,5716.0,False
1561,105,0,5763.0,False
1561,109,7,5974.0,False
1561,111,5,6075.0,False
1561,113,9,6245.0,False
1561,115,11,6410.0,False
1561,118,12,6513.0,False
1561,121,16,6700.0,False
1561,122,10,6755.0,False
1561,123,19,6810.0,False
1562,33,6,1840.0,False
1562,45,17,2539.0,False
1562,52,1,2917.0,False
1562,56,14,3158.0,False
1562,62,9,3485.0,False
1562,72,7,4069.0,False
1562,76,0,4286.0,False
1562,81,10,4536.0,False
1562,83,12,4609.0,False
1562,89,18,4917.0,False
1562,93,2,5131.0,False
1562,96,13,5327.0,False
1562,97,15,5376.0,False
1562,98,11,5460.0,False
1562,104,4,5795.0,False
1562,112,16,6282.0,False
1562,114,8,6393.0,False
1562,116,5,6479.0,False
1562,120,3,6700.0,False
1562,123,19,6874.0,False
1563,35,9,1909.0,False
1563,37,6,2005.0,False
1563,63,18,3486.0,False
1563,66,0,3649.0,False
1563,70,13,3895.0,False
1563,80,12,4497.0,False
1563,84,15,4701.0,False
1563,86,7,4782.0,False
1563,90,10,5012.0,False
1563,94,2,5266.0,False
1563,96,14,5354.0,False
1563,97,17,5413.0,False
1563,98,1,5446.0,False
1563,102,4,5683.0,False
1563,103,16,5767.0,False
1563,110,11,6176.0,False
1563,113,3,6371.0,False
1563,114,8,6415.0,False
1563,122,5,6830.0,False
1563,123,19,6885.0,False
1564,15,14,729.0,False
1564,22,9,1177.0,False
1564,28,6,1562.0,False
1564,54,12,2931.0,False
1564,62,1,3334.0,False
1564,63,15,3378.0,False
1564,72,18,3953.0,False
1564,82,7,4474.0,False
1564,87,13,4724.0,False
1564,90,0,4874.0,False
1564,97,2,5290.0,False
1564,101,10,5546.0,False
1564,104,16,5772.0,False
1564,106,17,5874.0,False
1564,109,4,6043.0,False
1564,111,11,6184.0,False
1564,116,8,6460.0,False
1564,118,19,6568.0,False
1564,122,3,6800.0,False
1564,123,5,6831.0,False
1565,34,6,1967.0,False
1565,53,1,3065.0,False
1565,60,9,3447.0,False
1565,63,12,3554.0,False
1565,65,14,3653.0,False
1565,70,13,3900.0,False
1565,73,15,4018.0,False
1565,77,18,4201.0,False
1565,87,0,4763.0,False
1565,88,10,4846.0,False
1565,92,17,5080.0,False
1565,100,4,5518.0,False
1565,105,11,5827.0,False
1565,106,8,5874.0,False
1565,107,16,5958.0,False
1565,110,2,6112.0,False
1565,115,5,6372.0,False
1565,116,7,6406.0,False
1565,121,3,6676.0,False
1565,123,19,6804.0,False
1566,30,9,1705.0,False
1566,49,6,2782.0,False
1566,50,14,2814.0,False
1566,59,12,3343.0,False
1566,66,17,3690.0,False
1566,74,13,4168.0,False
1566,78,1,4381.0,False
1566,79,18,4437.0,False
1566,89,11,4966.0,False
1566,91,16,5113.0,False
1566,92,19,5168.0,False
1566,100,0,5560.0,False
1566,101,10,5628.0,False
1566,102,15,5677.0,False
1566,104,2,5772.0,False
1566,108,8,5972.0,False
1566,112,4,6215.0,False
1566,117,5,6479.0,False
1566,119,7,6571.0,False
1566,123,3,6781.0,False
1567,40,18,2121.0,False
1567,47,6,2577.0,False
1567,56,9,3089.0,False
1567,62,1,3448.0,False
1567,71,15,4001.0,False
1567,80,13,4437.0,False
1567,81,14,4469.0,False
1567,85,12,4634.0,False
1567,92,7,4956.0,False
1567,94,17,5076.0,False
1567,99,4,5382.0,False
1567,100,11,5464.0,False
1567,101,10,5519.0,False
1567,105,2,5764.0,False
1567,109,0,5975.0,False
1567,114,16,6249.0,False
1567,115,5,6280.0,False
1567,118,8,6432.0,False
1567,122,3,6698.0,False
1567,123,19,6753.0,False
1568,38,6,2164.0,False
1568,44,14,2459.0,False
1568,45,9,2535.0,False
1568,53,1,2886.0,False
1568,55,18,2989.0,False
1568,75,17,4102.0,False
1568,79,4,4366.0,False
1568,87,10,4878.0,False
1568,90,13,5049.0,False
1568,91,2,5088.0,False
1568,93,12,5192.0,False
1568,97,15,5427.0,False
1568,101,16,5682.0,False
1568,107,5,6017.0,False
1568,109,19,6167.0,False
1568,110,8,6211.0,False
1568,115,11,6500.0,False
1568,116,7,6536.0,False
1568,118,0,6613.0,False
1568,123,3,6883.0,False
1569,18,6,969.0,False
1569,43,1,2336.0,False
1569,44,9,2424.0,False
1569,52,14,2882.0,False
1569,57,18,3163.0,False
1569,71,17,3959.0,False
1569,74,15,4125.0,False
1569,84,7,4676.0,False
1569,86,2,4780.0,False
1569,87,8,4824.0,False
1569,91,10,5022.0,False
1569,92,0,5073.0,False
1569,97,13,5329.0,False
1569,98,12,5368.0,False
1569,100,11,5531.0,False
1569,106,4,5892.0,False
1569,114,16,6368.0,False
1569,119,5,6597.0,False
1569,122,19,6796.0,False
1569,123,3,6859.0,False
1570,8,6,388.0,False
1570,31,18,1794.0,False
1570,57,9,3324.0,False
1570,59,7,3403.0,False
1570,63,14,3577.0,False
1570,70,15,3968.0,False
1570,75,11,4244.0,False
1570,80,17,4509.0,False
1570,81,13,4577.0,False
1570,88,12,4977.0,False
1570,101,1,5670.0,False
1570,102,4,5717.0,False
1570,105,0,5888.0,False
1570,108,2,6042.0,False
1570,109,16,6117.0,False
1570,111,19,6235.0,False
1570,112,10,6305.0,False
1570,115,8,6451.0,False
1570,120,5,6659.0,False
