episode,step,job_idx,completion_time,deadline_met
1,20,6,894.0,False
1,36,14,1608.0,False
1,41,0,1889.0,False
1,43,16,1998.0,False
1,45,5,2109.0,False
1,47,17,2214.0,False
1,53,15,2536.0,False
1,70,18,3376.0,False
1,78,8,3717.0,False
1,83,4,3924.0,False
1,84,2,3954.0,False
1,104,3,4882.0,False
1,109,10,5105.0,False
1,115,13,5350.0,False
1,116,11,5392.0,False
1,118,12,5502.0,False
1,120,9,5565.0,False
1,131,19,6107.0,False
1,133,7,6201.0,False
1,134,1,6237.0,False
2,23,0,1128.0,False
2,31,16,1544.0,False
2,42,5,2121.0,False
2,54,14,2711.0,False
2,67,17,3327.0,False
2,68,8,3360.0,False
2,73,15,3575.0,False
2,76,6,3710.0,False
2,94,12,4576.0,False
2,99,18,4796.0,False
2,104,11,5014.0,False
2,109,7,5241.0,False
2,113,2,5391.0,False
2,114,1,5427.0,False
2,115,10,5476.0,False
2,124,3,5881.0,False
2,125,4,5923.0,False
2,130,19,6130.0,False
2,131,13,6171.0,False
2,134,9,6267.0,False
