episode,step,job_idx,operation_id,reward,makespan,current_time,setup_time,job_completed,reward_makespan_reward,reward_setup_reward,reward_idle_penalty,reward_deadline_reward,reward_priority_reward,reward_critical_job_reward,reward_global_progress_reward,reward_placement_reward,reward_lookahead_reward,reward_timeliness_reward,reward_machine_idle_penalty,reward_credit_assignment_penalty
1,1,2,J3:OP1,27.35603849947194,34,34.0,0,False,-0.17,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,19.47603849947194,-0.9500000000000001,0.0
1,2,15,J16:OP1,11.666643117691557,100,100.0,40,False,-0.5,-10.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,38.0726816171635,-3.5500000000000003,0.0
1,3,19,J20:OP1,5.1128160293766145,159,159.0,40,False,-0.7949999999999999,-20.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,55.55549764654011,-7.625,0.0
1,4,6,J7:OP1,5.758220201878099,234,234.0,40,False,-1.17,-30.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,71.63871784841821,-13.575,0.0
1,5,19,J20:OP2,18.496110028086076,259,259.0,0,False,-1.295,-30.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,88.85982787650428,-17.175,0.0
1,6,8,J9:OP1,5.1090241386182695,339,339.0,40,False,-1.6949999999999998,-40.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,103.65635201512255,-22.462500000000002,0.0
1,7,7,J8:OP1,6.65923468017716,383,383.0,25,False,-1.9149999999999998,-46.25,0.0,0.0,0.0,0.0,0.0,39.0,0.0,118.17308669529972,-28.85,0.0
1,8,1,J2:OP1,11.613206690582537,424,424.0,25,False,-2.1199999999999997,-52.5,0.0,0.0,0.0,0.0,0.0,44.0,6.4,132.25379338588226,-36.2625,0.0
1,9,8,J9:OP2,9.745347405401393,460,460.0,20,False,-2.3,-57.5,0.0,0.0,0.0,0.0,0.0,50.0,6.4,147.42914079128366,-42.5125,0.0
1,10,5,J6:OP1,1.1815642231053909,536,536.0,40,False,-2.6799999999999997,-67.5,0.0,0.0,0.0,0.0,0.0,56.0,6.4,160.69070501438904,-50.212500000000006,0.0
1,11,19,J20:OP3,18.273970202296795,560,560.0,0,False,-2.8,-67.5,0.0,0.0,0.0,0.0,0.0,61.0,6.4,175.63467521668582,-51.7625,0.0
1,12,13,J14:OP1,1.5323507895754949,618,618.0,40,False,-3.09,-77.5,0.0,0.0,0.0,0.0,0.0,63.0,6.4,188.1570260062613,-54.462500000000006,0.0
1,13,19,J20:OP4,15.282836245179325,674,674.0,15,False,-3.37,-81.25,0.0,0.0,0.0,0.0,0.0,65.0,12.600000000000001,202.64486225144063,-57.837500000000006,0.0
1,14,19,J20:OP5,15.93799482062019,711,711.0,20,False,-3.555,-86.25,0.0,0.0,0.0,0.0,0.0,67.0,18.8,217.1928570720608,-59.462500000000006,0.0
1,15,1,J2:OP2,13.417697305947314,741,741.0,20,False,-3.705,-91.25,0.0,0.0,0.0,0.0,0.0,69.0,25.0,229.9355543780081,-61.837500000000006,0.0
1,16,14,J15:OP1,11.14817966799142,804,804.0,40,False,-4.0200000000000005,-101.25,0.0,0.0,0.0,0.0,0.0,75.0,31.4,241.41123404599952,-64.25,0.0
1,17,1,J2:OP3,15.453429534148505,847,847.0,15,False,-4.235,-105.0,0.0,0.0,0.0,0.0,0.0,77.0,37.8,254.292163580148,-66.1125,0.0
1,18,6,J7:OP2,16.364234955861146,890,890.0,20,False,-4.45,-110.0,0.0,0.0,0.0,0.0,0.0,83.0,44.0,265.28389853600913,-67.725,0.0
1,19,19,J20:OP6,15.360011739018404,930,930.0,15,False,-4.65,-113.75,0.0,0.0,0.0,0.0,0.0,85.0,50.2,278.46891027502755,-69.8,0.0
1,20,19,J20:OP7,51.081709758781294,980,980.0,10,True,-4.9,-116.25,0.0,20.0,12.0,0.0,0.5,90.0,56.800000000000004,291.5256200338089,-73.125,0.0
1,21,3,J4:OP1,17.228917982625823,1030,1030.0,25,False,-5.15,-122.5,0.0,20.0,12.0,0.0,1.0,99.0,63.2,301.7295380164347,-75.5,0.0
1,22,5,J6:OP2,21.45774347686765,1058,1058.0,15,False,-5.29,-126.25,0.0,20.0,12.0,0.0,1.5,108.0,70.0,312.1022814933023,-76.825,0.0
1,23,15,J16:OP2,19.80253666514262,1088,1088.0,15,False,-5.44,-130.0,0.0,20.0,12.0,0.0,2.0,117.0,76.4,321.9798181584449,-78.9,0.0
1,24,11,J12:OP1,4.698000914430415,1159,1159.0,40,False,-5.795,-140.0,0.0,20.0,12.0,0.0,2.5,119.0,82.60000000000001,331.45781907287534,-82.025,0.0
1,25,3,J4:OP2,18.321682991594276,1189,1189.0,15,False,-5.945,-143.75,0.0,20.0,12.0,0.0,3.0,128.0,89.00000000000001,340.76700206446964,-85.0125,0.0
1,26,7,J8:OP2,9.245983276474519,1222,1222.0,20,False,-6.11,-148.75,0.0,20.0,12.0,0.0,3.5,130.0,95.60000000000001,349.89048534094417,-88.825,0.0
1,27,5,J6:OP3,17.046349390575113,1275,1275.0,15,False,-6.375,-152.5,0.0,20.0,12.0,0.0,4.0,136.0,102.4,359.7643347315193,-90.9375,0.0
1,28,5,J6:OP4,15.12167022278495,1348,1348.0,15,False,-6.74,-156.25,0.0,20.0,12.0,0.0,4.5,142.0,109.0,369.83850495430426,-94.875,0.0
1,29,4,J5:OP1,10.916184890795908,1409,1409.0,25,False,-7.045,-162.5,0.0,20.0,12.0,0.0,5.0,147.0,116.0,377.90968984510016,-97.975,0.0
1,30,5,J6:OP5,105.55383587927955,1465,1465.0,15,True,-7.325,-166.25,0.0,40.0,52.0,30.0,6.0,153.0,122.6,387.6310257243797,-101.71249999999999,0.0
1,31,3,J4:OP3,12.109058576302182,1520,1520.0,15,False,-7.6000000000000005,-170.0,0.0,40.0,52.0,30.0,7.0,159.0,129.4,395.0775843006819,-106.82499999999999,0.0
1,32,4,J5:OP2,9.412104332993355,1555,1555.0,20,False,-7.775,-175.0,0.0,40.0,52.0,30.0,8.0,161.0,136.0,402.32718863367523,-109.08749999999999,0.0
1,33,1,J2:OP4,8.801386505117295,1596,1596.0,20,False,-7.98,-180.0,0.0,40.0,52.0,30.0,9.0,163.0,142.6,410.0210751387925,-112.37499999999999,0.0
1,34,0,J1:OP1,7.018705377554251,1676,1676.0,40,False,-8.38,-190.0,0.0,40.0,52.0,30.0,10.0,169.0,149.4,416.58978051634676,-115.32499999999999,0.0
1,35,3,J4:OP4,12.207378398339957,1710,1710.0,20,False,-8.55,-195.0,0.0,40.0,52.0,30.0,11.0,175.0,156.20000000000002,422.9671589146867,-118.12499999999999,0.0
1,36,7,J8:OP3,9.544097175816832,1779,1779.0,15,False,-8.895000000000001,-198.75,0.0,40.0,52.0,30.0,12.0,177.0,163.00000000000003,428.95625609050353,-120.27499999999999,0.0
1,37,0,J1:OP2,12.219015668413466,1815,1815.0,20,False,-9.075000000000001,-203.75,0.0,40.0,52.0,30.0,13.0,183.0,169.80000000000004,434.742771758917,-122.46249999999999,0.0
1,38,4,J5:OP3,8.673925104631941,1855,1855.0,15,False,-9.275,-207.5,0.0,40.0,52.0,30.0,14.0,185.0,176.60000000000005,440.30419686354895,-125.19999999999999,0.0
