algorithm,makespan,total_actions,completed_jobs,met_deadlines,deadline_ratio,total_tardiness,avg_tardiness,total_earliness,avg_earliness,deadline_violations,timeliness_score,high_priority_ratio,priority_weighted_avg_completion,machine_utilization,machine_balance,efficiency_ratio,avg_flowtime,run
SPT,6773.0,123,20,0,0.0,79111.0,3955.55,0.0,0.0,20,0.0,0.0,6773.0,0.9661892809685516,0.9640582880135556,0.5055366897977263,6773.0,1
SPT,6773.0,123,20,0,0.0,79111.0,3955.55,0.0,0.0,20,0.0,0.0,6773.0,0.9661892809685516,0.9640582880135556,0.5055366897977263,6773.0,2
SPT,6773.0,123,20,0,0.0,79111.0,3955.55,0.0,0.0,20,0.0,0.0,6773.0,0.9661892809685516,0.9640582880135556,0.5055366897977263,6773.0,3
SPT,6773.0,123,20,0,0.0,79111.0,3955.55,0.0,0.0,20,0.0,0.0,6773.0,0.9661892809685516,0.9640582880135556,0.5055366897977263,6773.0,4
SPT,6773.0,123,20,0,0.0,79111.0,3955.55,0.0,0.0,20,0.0,0.0,6773.0,0.9661892809685516,0.9640582880135556,0.5055366897977263,6773.0,5
SPT,6773.0,123,20,0,0.0,79111.0,3955.55,0.0,0.0,20,0.0,0.0,6773.0,0.9661892809685516,0.9640582880135556,0.5055366897977263,6773.0,6
SPT,6773.0,123,20,0,0.0,79111.0,3955.55,0.0,0.0,20,0.0,0.0,6773.0,0.9661892809685516,0.9640582880135556,0.5055366897977263,6773.0,7
SPT,6773.0,123,20,0,0.0,79111.0,3955.55,0.0,0.0,20,0.0,0.0,6773.0,0.9661892809685516,0.9640582880135556,0.5055366897977263,6773.0,8
SPT,6773.0,123,20,0,0.0,79111.0,3955.55,0.0,0.0,20,0.0,0.0,6773.0,0.9661892809685516,0.9640582880135556,0.5055366897977263,6773.0,9
SPT,6773.0,123,20,0,0.0,79111.0,3955.55,0.0,0.0,20,0.0,0.0,6773.0,0.9661892809685516,0.9640582880135556,0.5055366897977263,6773.0,10
LPT,6677.0,123,20,0,0.0,77191.0,3859.55,0.0,0.0,20,0.0,0.0,6677.0,0.9860216664170536,0.9888293828404259,0.5128051520143777,6677.0,1
LPT,6677.0,123,20,0,0.0,77191.0,3859.55,0.0,0.0,20,0.0,0.0,6677.0,0.9860216664170536,0.9888293828404259,0.5128051520143777,6677.0,2
LPT,6677.0,123,20,0,0.0,77191.0,3859.55,0.0,0.0,20,0.0,0.0,6677.0,0.9860216664170536,0.9888293828404259,0.5128051520143777,6677.0,3
LPT,6677.0,123,20,0,0.0,77191.0,3859.55,0.0,0.0,20,0.0,0.0,6677.0,0.9860216664170536,0.9888293828404259,0.5128051520143777,6677.0,4
LPT,6677.0,123,20,0,0.0,77191.0,3859.55,0.0,0.0,20,0.0,0.0,6677.0,0.9860216664170536,0.9888293828404259,0.5128051520143777,6677.0,5
LPT,6677.0,123,20,0,0.0,77191.0,3859.55,0.0,0.0,20,0.0,0.0,6677.0,0.9860216664170536,0.9888293828404259,0.5128051520143777,6677.0,6
LPT,6677.0,123,20,0,0.0,77191.0,3859.55,0.0,0.0,20,0.0,0.0,6677.0,0.9860216664170536,0.9888293828404259,0.5128051520143777,6677.0,7
LPT,6677.0,123,20,0,0.0,77191.0,3859.55,0.0,0.0,20,0.0,0.0,6677.0,0.9860216664170536,0.9888293828404259,0.5128051520143777,6677.0,8
LPT,6677.0,123,20,0,0.0,77191.0,3859.55,0.0,0.0,20,0.0,0.0,6677.0,0.9860216664170536,0.9888293828404259,0.5128051520143777,6677.0,9
LPT,6677.0,123,20,0,0.0,77191.0,3859.55,0.0,0.0,20,0.0,0.0,6677.0,0.9860216664170536,0.9888293828404259,0.5128051520143777,6677.0,10
HPF,6668.0,123,20,0,0.0,77011.0,3850.55,0.0,0.0,20,0.0,0.0,6668.0,0.9834033193361328,0.9855083630926652,0.5134973005398921,6668.0,1
HPF,6668.0,123,20,0,0.0,77011.0,3850.55,0.0,0.0,20,0.0,0.0,6668.0,0.9834033193361328,0.9855083630926652,0.5134973005398921,6668.0,2
HPF,6668.0,123,20,0,0.0,77011.0,3850.55,0.0,0.0,20,0.0,0.0,6668.0,0.9834033193361328,0.9855083630926652,0.5134973005398921,6668.0,3
HPF,6668.0,123,20,0,0.0,77011.0,3850.55,0.0,0.0,20,0.0,0.0,6668.0,0.9834033193361328,0.9855083630926652,0.5134973005398921,6668.0,4
HPF,6668.0,123,20,0,0.0,77011.0,3850.55,0.0,0.0,20,0.0,0.0,6668.0,0.9834033193361328,0.9855083630926652,0.5134973005398921,6668.0,5
HPF,6668.0,123,20,0,0.0,77011.0,3850.55,0.0,0.0,20,0.0,0.0,6668.0,0.9834033193361328,0.9855083630926652,0.5134973005398921,6668.0,6
HPF,6668.0,123,20,0,0.0,77011.0,3850.55,0.0,0.0,20,0.0,0.0,6668.0,0.9834033193361328,0.9855083630926652,0.5134973005398921,6668.0,7
HPF,6668.0,123,20,0,0.0,77011.0,3850.55,0.0,0.0,20,0.0,0.0,6668.0,0.9834033193361328,0.9855083630926652,0.5134973005398921,6668.0,8
HPF,6668.0,123,20,0,0.0,77011.0,3850.55,0.0,0.0,20,0.0,0.0,6668.0,0.9834033193361328,0.9855083630926652,0.5134973005398921,6668.0,9
HPF,6668.0,123,20,0,0.0,77011.0,3850.55,0.0,0.0,20,0.0,0.0,6668.0,0.9834033193361328,0.9855083630926652,0.5134973005398921,6668.0,10
EDF,6639.0,123,20,0,0.0,76431.0,3821.55,0.0,0.0,20,0.0,0.0,6639.0,0.9873474920921825,0.9882342498612954,0.5157403223377015,6639.0,1
EDF,6639.0,123,20,0,0.0,76431.0,3821.55,0.0,0.0,20,0.0,0.0,6639.0,0.9873474920921825,0.9882342498612954,0.5157403223377015,6639.0,2
EDF,6639.0,123,20,0,0.0,76431.0,3821.55,0.0,0.0,20,0.0,0.0,6639.0,0.9873474920921825,0.9882342498612954,0.5157403223377015,6639.0,3
EDF,6639.0,123,20,0,0.0,76431.0,3821.55,0.0,0.0,20,0.0,0.0,6639.0,0.9873474920921825,0.9882342498612954,0.5157403223377015,6639.0,4
EDF,6639.0,123,20,0,0.0,76431.0,3821.55,0.0,0.0,20,0.0,0.0,6639.0,0.9873474920921825,0.9882342498612954,0.5157403223377015,6639.0,5
EDF,6639.0,123,20,0,0.0,76431.0,3821.55,0.0,0.0,20,0.0,0.0,6639.0,0.9873474920921825,0.9882342498612954,0.5157403223377015,6639.0,6
EDF,6639.0,123,20,0,0.0,76431.0,3821.55,0.0,0.0,20,0.0,0.0,6639.0,0.9873474920921825,0.9882342498612954,0.5157403223377015,6639.0,7
EDF,6639.0,123,20,0,0.0,76431.0,3821.55,0.0,0.0,20,0.0,0.0,6639.0,0.9873474920921825,0.9882342498612954,0.5157403223377015,6639.0,8
EDF,6639.0,123,20,0,0.0,76431.0,3821.55,0.0,0.0,20,0.0,0.0,6639.0,0.9873474920921825,0.9882342498612954,0.5157403223377015,6639.0,9
