episode,step,job_idx,reward,makespan,current_time,setup_time,job_completed
1,1,16,23.176719519963108,38,38.0,0,False
1,2,15,11.510508842399219,104,104.0,0,False
1,3,4,4.507092462983152,180,180.0,0,False
1,4,7,2.2083279074734756,239,239.0,0,False
1,5,3,3.17689785962025,304,304.0,0,False
1,6,18,0.9571779189611007,359,359.0,0,False
1,7,5,5.376306785542619,435,435.0,0,False
1,8,7,14.655070044806987,448,448.0,0,False
1,9,8,7.178804558083916,528,528.0,0,False
1,10,8,18.006998260042128,559,559.0,0,False
1,11,8,27.75641303597411,613,613.0,0,False
1,12,15,12.517390134690316,648,648.0,0,False
1,13,15,19.75844959019092,693,693.0,0,False
1,14,18,15.655931268806832,743,743.0,0,False
1,15,12,10.708134386100658,824,824.0,0,False
1,16,3,9.478680142791827,859,859.0,0,False
1,17,18,19.0050579015582,896,896.0,0,False
1,18,19,6.793462789716177,955,955.0,0,False
1,19,18,17.38590885464757,988,988.0,0,False
1,20,8,16.23988794075351,1031,1031.0,0,False
1,21,18,15.657415706624171,1068,1068.0,0,False
1,22,19,8.024355062779165,1113,1113.0,0,False
1,23,18,12.821032801825526,1154,1154.0,0,False
1,24,11,9.436010445608975,1210,1210.0,0,False
1,25,12,11.334038089543839,1253,1253.0,0,False
1,26,1,1.0914113002497103,1309,1309.0,0,False
1,27,0,2.521230172686666,1389,1389.0,0,False
1,28,15,8.879800723801917,1432,1432.0,0,False
1,29,6,8.454121970949247,1492,1492.0,0,False
1,30,16,2.0790314071677276,1532,1532.0,0,False
1,31,18,89.07109133328984,1577,1577.0,0,False
1,32,15,5.48096616016157,1611,1611.0,0,False
1,33,2,-1.3894399992965916,1685,1685.0,0,False
1,34,7,8.284778778180284,1754,1754.0,0,False
1,35,8,12.75442854937729,1786,1786.0,0,False
1,36,7,7.636416048253791,1859,1859.0,0,False
1,37,15,59.507946889061046,1909,1909.0,0,False
1,38,8,10.755921931805897,1975,1975.0,0,False
1,39,4,4.814199169978547,2010,2010.0,0,False
1,40,5,8.013499454858792,2043,2043.0,0,False
1,41,8,96.76946640640571,2076,2076.0,0,False
1,42,16,2.2220637991066727,2125,2125.0,0,False
1,43,6,9.238227763514228,2163,2163.0,0,False
1,44,4,2.3781371997327048,2203,2203.0,0,False
1,45,6,5.7886739000457235,2242,2242.0,0,False
1,46,19,0.5942106003587391,2281,2281.0,0,False
1,47,6,1.9822382442936028,2324,2324.0,0,False
1,48,11,-2.7991068476769945,2366,2366.0,0,False
1,49,7,-4.156751749727429,2430,2430.0,0,False
1,50,5,-0.12499674673794381,2483,2483.0,0,False
1,51,9,-0.30015976154468227,2555,2555.0,0,False
