episode,total_reward,steps,makespan,completed_jobs,fully_completed_jobs,met_deadlines,deadline_ratio,avg_machine_util,machine_util_std
1,1251.7815597644005,134,6307,20,20,0,0.0,0.951218223138312,0.06532300285366152
2,298.3223309230161,134,6272,20,20,0,0.0,0.9830994897959183,0.020294495713187918
3,426.06440680898385,134,6297,20,20,0,0.0,0.8897358530517178,0.14343519626634668
4,363.42926807006813,134,6247,20,20,0,0.0,0.8642014833786884,0.1645632618190725
