episode,step,job_idx,reward,makespan,current_time,setup_time,job_completed
1,1,3,4.25,25.0,25.0,0,False
1,2,0,-8.65,90.0,90.0,0,False
1,3,19,-19.59,149.0,149.0,0,False
1,4,16,-19.78,227.0,227.0,0,False
1,5,8,-8.65,292.0,292.0,0,False
1,6,3,4.35,307.0,307.0,0,False
1,7,7,-10.44,351.0,351.0,0,False
1,8,19,-9.45,396.0,396.0,0,False
1,9,1,-10.41,437.0,437.0,0,False
1,10,1,-9.3,467.0,467.0,0,False
1,11,16,-5.35,502.0,502.0,0,False
1,12,1,2.22,530.0,530.0,0,False
1,13,12,-17.81,611.0,611.0,0,False
1,14,16,-2.94,655.0,655.0,0,False
1,15,19,-6.89,694.0,694.0,0,False
1,16,12,-7.4300003,737.0,737.0,0,False
1,17,19,-7.0600004,793.0,793.0,0,False
1,18,2,-8.59,852.0,852.0,0,False
1,19,0,-7.3599997,888.0,888.0,0,False
1,20,12,-5.1800003,956.0,956.0,0,False
1,21,12,-7.42,998.0,998.0,0,False
1,22,0,-5.01,1049.0,1049.0,0,False
1,23,7,-9.33,1082.0,1082.0,0,False
1,24,8,-3.31,1113.0,1113.0,0,False
1,25,19,-9.37,1150.0,1150.0,0,False
1,26,7,-7.1899996,1219.0,1219.0,0,False
1,27,12,31.822357,1287.0,1287.0,0,False
1,28,4,-19.51,1363.0,1363.0,0,False
1,29,0,-7.13,1401.0,1401.0,0,False
1,30,3,-4.8,1456.0,1456.0,0,False
1,31,8,-4.9399996,1525.0,1525.0,0,False
1,32,1,-9.16,1566.0,1566.0,0,False
1,33,1,-9.19,1610.0,1610.0,0,False
1,34,16,-6.66,1651.0,1651.0,0,False
1,35,2,-7.1499996,1691.0,1691.0,0,False
1,36,3,-7.09,1725.0,1725.0,0,False
1,37,0,-7.17,1767.0,1767.0,0,False
1,38,8,-7.1800003,1810.0,1810.0,0,False
1,39,16,-6.8999996,1875.0,1875.0,0,False
1,40,0,28.762438,1907.0,1907.0,0,False
1,41,7,-6.7299995,1980.0,1980.0,0,False
1,42,19,-6.4,2020.0,2020.0,0,False
1,43,3,-6.95,2065.0,2065.0,0,False
1,44,1,21.24243,2101.0,2101.0,0,False
1,45,3,-2.6399999,2140.0,2140.0,0,False
1,46,2,-4.4799995,2213.0,2213.0,0,False
1,47,16,-6.49,2287.0,2287.0,0,False
1,48,8,-6.5699997,2319.0,2319.0,0,False
1,49,4,-8.6,2354.0,2354.0,0,False
1,50,3,30.746511,2395.0,2395.0,0,False
1,51,16,27.12257,2435.0,2435.0,0,False
1,52,19,20.912827,2490.0,2490.0,0,False
1,53,8,-3.6599998,2556.0,2556.0,0,False
1,54,5,-16.26,2632.0,2632.0,0,False
1,55,11,-18.21,2703.0,2703.0,0,False
