episode,total_reward,steps,makespan,completed_jobs,fully_completed_jobs,met_deadlines,deadline_ratio,avg_machine_util,machine_util_std
1,52.950397,7,341,1,1,1,1.0,0.84750736,0.11798434
2,34.77852,7,341,1,1,1,1.0,0.84750736,0.11798434
3,34.77852,7,341,1,1,1,1.0,0.84750736,0.11798434
4,34.77852,7,341,1,1,1,1.0,0.84750736,0.11798434
5,34.77852,7,341,1,1,1,1.0,0.84750736,0.11798434
6,34.77852,7,341,1,1,1,1.0,0.84750736,0.11798434
7,34.77852,7,341,1,1,1,1.0,0.84750736,0.11798434
8,34.77852,7,341,1,1,1,1.0,0.84750736,0.11798434
9,34.77852,7,341,1,1,1,1.0,0.84750736,0.11798434
10,34.77852,7,341,1,1,1,1.0,0.84750736,0.11798434
11,34.77852,7,341,1,1,1,1.0,0.84750736,0.11798434
12,34.77852,7,341,1,1,1,1.0,0.84750736,0.11798434
13,34.77852,7,341,1,1,1,1.0,0.84750736,0.11798434
14,34.77852,7,341,1,1,1,1.0,0.84750736,0.11798434
15,34.77852,7,341,1,1,1,1.0,0.84750736,0.11798434
16,34.77852,7,341,1,1,1,1.0,0.84750736,0.11798434
17,34.77852,7,341,1,1,1,1.0,0.84750736,0.11798434
18,34.77852,7,341,1,1,1,1.0,0.84750736,0.11798434
19,34.77852,7,341,1,1,1,1.0,0.84750736,0.11798434
20,34.77852,7,341,1,1,1,1.0,0.84750736,0.11798434
21,34.77852,7,341,1,1,1,1.0,0.84750736,0.11798434
22,34.77852,7,341,1,1,1,1.0,0.84750736,0.11798434
23,34.77852,7,341,1,1,1,1.0,0.84750736,0.11798434
24,34.77852,7,341,1,1,1,1.0,0.84750736,0.11798434
25,34.77852,7,341,1,1,1,1.0,0.84750736,0.11798434
26,34.77852,7,341,1,1,1,1.0,0.84750736,0.11798434
27,34.77852,7,341,1,1,1,1.0,0.84750736,0.11798434
28,34.77852,7,341,1,1,1,1.0,0.84750736,0.11798434
29,34.77852,7,341,1,1,1,1.0,0.84750736,0.11798434
30,34.77852,7,341,1,1,1,1.0,0.84750736,0.11798434
31,34.77852,7,341,1,1,1,1.0,0.84750736,0.11798434
32,34.77852,7,341,1,1,1,1.0,0.84750736,0.11798434
33,34.77852,7,341,1,1,1,1.0,0.84750736,0.11798434
34,34.77852,7,341,1,1,1,1.0,0.84750736,0.11798434
35,34.77852,7,341,1,1,1,1.0,0.84750736,0.11798434
36,34.77852,7,341,1,1,1,1.0,0.84750736,0.11798434
37,34.77852,7,341,1,1,1,1.0,0.84750736,0.11798434
38,34.77852,7,341,1,1,1,1.0,0.84750736,0.11798434
39,34.77852,7,341,1,1,1,1.0,0.84750736,0.11798434
40,34.77852,7,341,1,1,1,1.0,0.84750736,0.11798434
41,34.77852,7,341,1,1,1,1.0,0.84750736,0.11798434
42,34.77852,7,341,1,1,1,1.0,0.84750736,0.11798434
43,34.77852,7,341,1,1,1,1.0,0.84750736,0.11798434
44,34.77852,7,341,1,1,1,1.0,0.84750736,0.11798434
45,34.77852,7,341,1,1,1,1.0,0.84750736,0.11798434
46,34.77852,7,341,1,1,1,1.0,0.84750736,0.11798434
47,34.77852,7,341,1,1,1,1.0,0.84750736,0.11798434
48,34.77852,7,341,1,1,1,1.0,0.84750736,0.11798434
49,34.77852,7,341,1,1,1,1.0,0.84750736,0.11798434
50,34.77852,7,341,1,1,1,1.0,0.84750736,0.11798434
