episode,step,machine_idx,machine_time,current_time,utilization
1,1,0,0,49.0,0.0
1,1,1,0,49.0,0.0
1,1,2,49,49.0,1.0
1,2,0,0,72.0,0.0
1,2,1,72,72.0,1.0
1,2,2,49,72.0,0.6805555555555556
1,3,0,0,131.0,0.0
1,3,1,72,131.0,0.549618320610687
1,3,2,131,131.0,1.0
1,4,0,0,186.0,0.0
1,4,1,186,186.0,1.0
1,4,2,131,186.0,0.7043010752688172
1,5,0,0,244.0,0.0
1,5,1,244,244.0,1.0
1,5,2,131,244.0,0.5368852459016393
1,6,0,279,279.0,1.0
1,6,1,244,279.0,0.8745519713261649
1,6,2,131,279.0,0.46953405017921146
1,7,0,279,316.0,0.8829113924050633
1,7,1,244,316.0,0.7721518987341772
1,7,2,316,316.0,1.0
1,8,0,279,368.0,0.7581521739130435
1,8,1,244,368.0,0.6630434782608695
1,8,2,368,368.0,1.0
1,9,0,279,442.0,0.6312217194570136
1,9,1,244,442.0,0.5520361990950227
1,9,2,442,442.0,1.0
1,10,0,511,511.0,1.0
1,10,1,244,511.0,0.4774951076320939
1,10,2,442,511.0,0.8649706457925636
1,11,0,511,556.0,0.9190647482014388
1,11,1,556,556.0,1.0
1,11,2,442,556.0,0.7949640287769785
1,12,0,511,608.0,0.8404605263157895
1,12,1,608,608.0,1.0
1,12,2,442,608.0,0.7269736842105263
1,13,0,511,650.0,0.7861538461538462
1,13,1,608,650.0,0.9353846153846154
1,13,2,650,650.0,1.0
1,14,0,511,696.0,0.7341954022988506
1,14,1,696,696.0,1.0
1,14,2,650,696.0,0.9339080459770115
1,15,0,511,766.0,0.6671018276762402
1,15,1,696,766.0,0.9086161879895561
1,15,2,766,766.0,1.0
1,16,0,511,797.0,0.6411543287327478
1,16,1,797,797.0,1.0
1,16,2,766,797.0,0.9611041405269761
1,17,0,863,863.0,1.0
1,17,1,797,863.0,0.9235225955967555
1,17,2,766,863.0,0.8876013904982619
1,18,0,863,895.0,0.964245810055866
1,18,1,895,895.0,1.0
1,18,2,766,895.0,0.8558659217877095
1,19,0,969,969.0,1.0
1,19,1,895,969.0,0.9236326109391125
1,19,2,766,969.0,0.7905056759545923
1,20,0,1054,1054.0,1.0
1,20,1,895,1054.0,0.849146110056926
1,20,2,766,1054.0,0.7267552182163188
1,21,0,1054,1101.0,0.9573115349682108
1,21,1,1101,1101.0,1.0
1,21,2,766,1101.0,0.695731153496821
1,22,0,1054,1168.0,0.9023972602739726
1,22,1,1101,1168.0,0.9426369863013698
1,22,2,1168,1168.0,1.0
1,23,0,1054,1215.0,0.8674897119341564
1,23,1,1101,1215.0,0.9061728395061729
1,23,2,1215,1215.0,1.0
1,24,0,1054,1295.0,0.8138996138996138
1,24,1,1101,1295.0,0.8501930501930502
1,24,2,1295,1295.0,1.0
1,25,0,1054,1325.0,0.7954716981132075
1,25,1,1325,1325.0,1.0
1,25,2,1295,1325.0,0.9773584905660377
1,26,0,1054,1359.0,0.775570272259014
1,26,1,1359,1359.0,1.0
1,26,2,1295,1359.0,0.9529065489330389
1,27,0,1054,1417.0,0.7438249823570925
1,27,1,1359,1417.0,0.9590684544812985
1,27,2,1417,1417.0,1.0
1,28,0,1054,1455.0,0.7243986254295532
1,28,1,1455,1455.0,1.0
1,28,2,1417,1455.0,0.9738831615120275
1,29,0,1054,1514.0,0.6961690885072656
1,29,1,1455,1514.0,0.9610303830911493
1,29,2,1514,1514.0,1.0
1,30,0,1054,1577.0,0.6683576410906785
1,30,1,1455,1577.0,0.9226379201014585
1,30,2,1577,1577.0,1.0
1,31,0,1664,1664.0,1.0
1,31,1,1455,1664.0,0.8743990384615384
1,31,2,1577,1664.0,0.9477163461538461
1,32,0,1745,1745.0,1.0
1,32,1,1455,1745.0,0.833810888252149
1,32,2,1577,1745.0,0.9037249283667622
1,33,0,1807,1807.0,1.0
1,33,1,1455,1807.0,0.805201992252352
1,33,2,1577,1807.0,0.8727172108467073
1,34,0,1883,1883.0,1.0
1,34,1,1455,1883.0,0.7727031332979288
1,34,2,1577,1883.0,0.8374933616569304
1,35,0,1949,1949.0,1.0
1,35,1,1455,1949.0,0.7465366854797332
1,35,2,1577,1949.0,0.8091328886608518
1,36,0,2009,2009.0,1.0
1,36,1,1455,2009.0,0.7242409158785466
1,36,2,1577,2009.0,0.7849676455948233
1,37,0,2009,2051.0,0.9795221843003413
1,37,1,2051,2051.0,1.0
1,37,2,1577,2051.0,0.7688932228181375
1,38,0,2009,2089.0,0.9617041646720919
1,38,1,2089,2089.0,1.0
1,38,2,1577,2089.0,0.7549066539013882
1,39,0,2009,2136.0,0.9405430711610487
1,39,1,2136,2136.0,1.0
1,39,2,1577,2136.0,0.7382958801498127
1,40,0,2009,2180.0,0.921559633027523
1,40,1,2180,2180.0,1.0
1,40,2,1577,2180.0,0.7233944954128441
1,41,0,2009,2226.0,0.9025157232704403
1,41,1,2180,2226.0,0.9793351302785265
1,41,2,2226,2226.0,1.0
1,42,0,2009,2307.0,0.8708279150411791
1,42,1,2180,2307.0,0.9449501517121803
1,42,2,2307,2307.0,1.0
1,43,0,2009,2368.0,0.8483952702702703
1,43,1,2180,2368.0,0.9206081081081081
1,43,2,2368,2368.0,1.0
1,44,0,2467,2467.0,1.0
1,44,1,2180,2467.0,0.883664369679773
1,44,2,2368,2467.0,0.9598702877989461
1,45,0,2541,2541.0,1.0
1,45,1,2180,2541.0,0.8579299488390397
1,45,2,2368,2541.0,0.9319165682802046
1,46,0,2541,2617.0,0.9709591134887275
1,46,1,2180,2617.0,0.8330149025601834
1,46,2,2617,2617.0,1.0
1,47,0,2701,2701.0,1.0
1,47,1,2180,2701.0,0.807108478341355
1,47,2,2617,2701.0,0.9689004072565717
1,48,0,2797,2797.0,1.0
1,48,1,2180,2797.0,0.7794065069717554
1,48,2,2617,2797.0,0.9356453342867358
1,49,0,2797,2847.0,0.9824376536705304
1,49,1,2180,2847.0,0.7657182999648753
1,49,2,2847,2847.0,1.0
1,50,0,2930,2930.0,1.0
1,50,1,2180,2930.0,0.7440273037542662
1,50,2,2847,2930.0,0.9716723549488054
1,51,0,2930,2986.0,0.9812458137977227
1,51,1,2986,2986.0,1.0
1,51,2,2847,2986.0,0.9534494306764902
1,52,0,2930,3032.0,0.966358839050132
1,52,1,3032,3032.0,1.0
1,52,2,2847,3032.0,0.9389841688654353
1,53,0,2930,3081.0,0.9509899383317105
1,53,1,3081,3081.0,1.0
1,53,2,2847,3081.0,0.9240506329113924
1,54,0,2930,3132.0,0.9355044699872286
1,54,1,3132,3132.0,1.0
1,54,2,2847,3132.0,0.9090038314176245
1,55,0,3203,3203.0,1.0
1,55,1,3132,3203.0,0.9778332812987824
1,55,2,2847,3203.0,0.888854199188261
1,56,0,3203,3246.0,0.9867529266789895
1,56,1,3246,3246.0,1.0
1,56,2,2847,3246.0,0.8770794824399261
1,57,0,3203,3305.0,0.9691376701966717
1,57,1,3246,3305.0,0.9821482602118004
1,57,2,3305,3305.0,1.0
1,58,0,3203,3356.0,0.9544100119189511
1,58,1,3356,3356.0,1.0
1,58,2,3305,3356.0,0.9848033373063171
1,59,0,3203,3396.0,0.943168433451119
1,59,1,3356,3396.0,0.9882214369846879
1,59,2,3396,3396.0,1.0
1,60,0,3486,3486.0,1.0
1,60,1,3356,3486.0,0.9627079747561675
1,60,2,3396,3486.0,0.9741824440619621
1,61,0,3486,3528.0,0.9880952380952381
1,61,1,3528,3528.0,1.0
1,61,2,3396,3528.0,0.9625850340136054
1,62,0,3486,3586.0,0.9721137757947574
1,62,1,3528,3586.0,0.9838259899609593
1,62,2,3586,3586.0,1.0
1,63,0,3486,3624.0,0.9619205298013245
1,63,1,3624,3624.0,1.0
1,63,2,3586,3624.0,0.989514348785872
1,64,0,3486,3660.0,0.9524590163934427
1,64,1,3660,3660.0,1.0
1,64,2,3586,3660.0,0.9797814207650273
1,65,0,3486,3712.0,0.9391163793103449
1,65,1,3712,3712.0,1.0
1,65,2,3586,3712.0,0.9660560344827587
1,66,0,3486,3747.0,0.9303442754203363
1,66,1,3747,3747.0,1.0
1,66,2,3586,3747.0,0.9570322925006672
1,67,0,3486,3787.0,0.9205175600739371
1,67,1,3787,3787.0,1.0
1,67,2,3586,3787.0,0.9469236862952205
1,68,0,3486,3830.0,0.9101827676240208
1,68,1,3787,3830.0,0.9887728459530026
1,68,2,3830,3830.0,1.0
1,69,0,3486,3872.0,0.9003099173553719
1,69,1,3787,3872.0,0.9780475206611571
1,69,2,3872,3872.0,1.0
1,70,0,3486,3920.0,0.8892857142857142
1,70,1,3920,3920.0,1.0
1,70,2,3872,3920.0,0.9877551020408163
1,71,0,3991,3991.0,1.0
1,71,1,3920,3991.0,0.9822099724379855
1,71,2,3872,3991.0,0.9701829115509897
1,72,0,3991,4041.0,0.9876268250433061
1,72,1,4041,4041.0,1.0
1,72,2,3872,4041.0,0.9581786686463747
1,73,0,4103,4103.0,1.0
1,73,1,4041,4103.0,0.9848891055325372
1,73,2,3872,4103.0,0.9436997319034852
1,74,0,4103,4145.0,0.9898673100120627
1,74,1,4041,4145.0,0.9749095295536792
1,74,2,4145,4145.0,1.0
1,75,0,4217,4217.0,1.0
1,75,1,4041,4217.0,0.9582641688404079
1,75,2,4145,4217.0,0.9829262508892578
1,76,0,4217,4280.0,0.9852803738317757
1,76,1,4041,4280.0,0.944158878504673
1,76,2,4280,4280.0,1.0
1,77,0,4217,4319.0,0.9763834220884464
1,77,1,4319,4319.0,1.0
1,77,2,4280,4319.0,0.9909701319749942
1,78,0,4217,4385.0,0.9616875712656785
1,78,1,4319,4385.0,0.9849486887115165
1,78,2,4385,4385.0,1.0
1,79,0,4451,4451.0,1.0
1,79,1,4319,4451.0,0.9703437429791059
1,79,2,4385,4451.0,0.9851718714895529
1,80,0,4451,4491.0,0.9910932977065242
1,80,1,4491,4491.0,1.0
1,80,2,4385,4491.0,0.976397238922289
1,81,0,4451,4538.0,0.9808285588364919
1,81,1,4538,4538.0,1.0
1,81,2,4385,4538.0,0.9662847069193478
1,82,0,4451,4595.0,0.9686615886833515
1,82,1,4538,4595.0,0.98759521218716
1,82,2,4595,4595.0,1.0
1,83,0,4451,4645.0,0.9582346609257266
1,83,1,4645,4645.0,1.0
1,83,2,4595,4645.0,0.9892357373519914
1,84,0,4715,4715.0,1.0
1,84,1,4645,4715.0,0.985153764581124
1,84,2,4595,4715.0,0.9745493107104984
1,85,0,4715,4757.0,0.9911709060332142
1,85,1,4757,4757.0,1.0
1,85,2,4595,4757.0,0.9659449232709691
1,86,0,4715,4796.0,0.9831109257714762
1,86,1,4796,4796.0,1.0
1,86,2,4595,4796.0,0.9580900750625522
1,87,0,4877,4877.0,1.0
1,87,1,4796,4877.0,0.9833914291572688
1,87,2,4595,4877.0,0.9421775681771581
1,88,0,4877,4931.0,0.9890488744676537
1,88,1,4796,4931.0,0.9726221861691341
1,88,2,4931,4931.0,1.0
1,89,0,4877,4980.0,0.9793172690763052
1,89,1,4980,4980.0,1.0
1,89,2,4931,4980.0,0.9901606425702811
1,90,0,4877,5006.0,0.974230922892529
1,90,1,5006,5006.0,1.0
1,90,2,4931,5006.0,0.9850179784258889
1,91,0,4877,5046.0,0.966508125247721
1,91,1,5046,5046.0,1.0
1,91,2,4931,5046.0,0.9772096710265556
1,92,0,4877,5098.0,0.9566496665358964
1,92,1,5046,5098.0,0.989799921537858
1,92,2,5098,5098.0,1.0
1,93,0,4877,5137.0,0.9493868016351956
1,93,1,5137,5137.0,1.0
1,93,2,5098,5137.0,0.9924080202452793
1,94,0,4877,5171.0,0.9431444594855928
1,94,1,5171,5171.0,1.0
1,94,2,5098,5171.0,0.9858828079675112
1,95,0,4877,5207.0,0.9366237756865757
1,95,1,5207,5207.0,1.0
1,95,2,5098,5207.0,0.9790666410601114
1,96,0,5281,5281.0,1.0
1,96,1,5207,5281.0,0.985987502366976
1,96,2,5098,5281.0,0.9653474720696837
1,97,0,5281,5350.0,0.9871028037383177
1,97,1,5207,5350.0,0.9732710280373832
1,97,2,5350,5350.0,1.0
1,98,0,5420,5420.0,1.0
1,98,1,5207,5420.0,0.9607011070110701
1,98,2,5350,5420.0,0.9870848708487084
1,99,0,5420,5485.0,0.9881494986326345
1,99,1,5207,5485.0,0.9493163172288058
1,99,2,5485,5485.0,1.0
1,100,0,5558,5558.0,1.0
1,100,1,5207,5558.0,0.9368477869737316
1,100,2,5485,5558.0,0.9868657790572148
1,101,0,5558,5601.0,0.9923227995000893
1,101,1,5601,5601.0,1.0
1,101,2,5485,5601.0,0.979289412604892
1,102,0,5674,5674.0,1.0
1,102,1,5601,5674.0,0.9871342967923863
1,102,2,5485,5674.0,0.9666901656679591
1,103,0,5747,5747.0,1.0
1,103,1,5601,5747.0,0.9745954410997042
1,103,2,5485,5747.0,0.9544109970419349
1,104,0,5747,5787.0,0.9930879557629169
1,104,1,5601,5787.0,0.9678589942975635
1,104,2,5787,5787.0,1.0
1,105,0,5849,5849.0,1.0
1,105,1,5601,5849.0,0.9575995896734485
1,105,2,5787,5849.0,0.9893998974183621
1,106,0,5849,5891.0,0.9928704803938211
1,106,1,5601,5891.0,0.9507723646240027
1,106,2,5891,5891.0,1.0
1,107,0,5960,5960.0,1.0
1,107,1,5601,5960.0,0.9397651006711409
1,107,2,5891,5960.0,0.9884228187919463
1,108,0,5960,6009.0,0.9918455649858545
1,108,1,5601,6009.0,0.9321018472291562
1,108,2,6009,6009.0,1.0
1,109,0,5960,6052.0,0.9847984137475215
1,109,1,6052,6052.0,1.0
1,109,2,6009,6052.0,0.9928949107732981
1,110,0,5960,6092.0,0.9783322390019698
1,110,1,6092,6092.0,1.0
1,110,2,6009,6092.0,0.9863755745239658
1,111,0,5960,6138.0,0.9710003258390355
1,111,1,6138,6138.0,1.0
1,111,2,6009,6138.0,0.9789833822091887
1,112,0,5960,6196.0,0.9619109102646869
1,112,1,6196,6196.0,1.0
1,112,2,6009,6196.0,0.9698192382182053
1,113,0,5960,6271.0,0.950406633710732
1,113,1,6196,6271.0,0.9880401849784723
1,113,2,6271,6271.0,1.0
1,114,0,6341,6341.0,1.0
1,114,1,6196,6341.0,0.9771329443305472
1,114,2,6271,6341.0,0.9889607317457815
1,115,0,6424,6424.0,1.0
1,115,1,6196,6424.0,0.9645080946450809
1,115,2,6271,6424.0,0.9761830635118306
1,116,0,6424,6467.0,0.9933508582031854
1,116,1,6467,6467.0,1.0
1,116,2,6271,6467.0,0.9696922839028916
1,117,0,6424,6507.0,0.9872445059167051
1,117,1,6467,6507.0,0.9938527739357614
1,117,2,6507,6507.0,1.0
1,118,0,6424,6545.0,0.9815126050420168
1,118,1,6545,6545.0,1.0
1,118,2,6507,6545.0,0.9941940412528648
1,119,0,6424,6576.0,0.9768856447688564
1,119,1,6576,6576.0,1.0
1,119,2,6507,6576.0,0.989507299270073
1,120,0,6424,6640.0,0.9674698795180723
1,120,1,6576,6640.0,0.9903614457831326
1,120,2,6640,6640.0,1.0
1,121,0,6424,6686.0,0.9608136404427161
1,121,1,6576,6686.0,0.9835477116362549
1,121,2,6686,6686.0,1.0
1,122,0,6424,6745.0,0.9524091919940697
1,122,1,6745,6745.0,1.0
1,122,2,6686,6745.0,0.9912527798369163
1,123,0,6830,6830.0,1.0
1,123,1,6745,6830.0,0.9875549048316252
1,123,2,6686,6830.0,0.9789165446559297
1,124,0,6877,6877.0,1.0
1,124,1,6745,6877.0,0.9808055838301585
1,124,2,6686,6877.0,0.9722262614512142
1,125,0,6877,6930.0,0.9923520923520923
1,125,1,6930,6930.0,1.0
1,125,2,6686,6930.0,0.9647907647907648
1,126,0,6877,6977.0,0.9856671922029525
1,126,1,6977,6977.0,1.0
1,126,2,6686,6977.0,0.9582915293105919
1,127,0,7064,7064.0,1.0
1,127,1,6977,7064.0,0.9876840317100792
1,127,2,6686,7064.0,0.9464892412231031
1,128,0,7135,7135.0,1.0
1,128,1,6977,7135.0,0.9778556412053259
1,128,2,6686,7135.0,0.9370707778556412
1,129,0,7222,7222.0,1.0
1,129,1,6977,7222.0,0.9660758792578233
1,129,2,6686,7222.0,0.9257823317640543
1,130,0,7296,7296.0,1.0
1,130,1,6977,7296.0,0.9562774122807017
1,130,2,6686,7296.0,0.9163925438596491
1,131,0,7368,7368.0,1.0
1,131,1,6977,7368.0,0.9469326818675353
1,131,2,6686,7368.0,0.9074375678610206
1,132,0,7451,7451.0,1.0
1,132,1,6977,7451.0,0.9363843779358475
1,132,2,6686,7451.0,0.8973292175546906
1,133,0,7530,7530.0,1.0
1,133,1,6977,7530.0,0.9265604249667995
1,133,2,6686,7530.0,0.8879150066401063
1,134,0,7530,7588.0,0.9923563521349499
1,134,1,6977,7588.0,0.9194781233526621
1,134,2,7588,7588.0,1.0
1,135,0,7530,7653.0,0.9839278714229713
1,135,1,6977,7653.0,0.9116686266823468
1,135,2,7653,7653.0,1.0
1,136,0,7530,7720.0,0.9753886010362695
1,136,1,6977,7720.0,0.9037564766839378
1,136,2,7720,7720.0,1.0
1,137,0,7530,7767.0,0.9694862881421398
1,137,1,7767,7767.0,1.0
1,137,2,7720,7767.0,0.9939487575640531
1,138,0,7848,7848.0,1.0
1,138,1,7767,7848.0,0.9896788990825688
1,138,2,7720,7848.0,0.9836901121304791
1,139,0,7848,7921.0,0.990783991920212
1,139,1,7767,7921.0,0.9805580103522282
1,139,2,7921,7921.0,1.0
