episode,step,job_idx,completion_time,deadline_met
1,13,21,650.0,False
1,18,28,895.0,False
1,64,9,3660.0,False
1,76,14,4280.0,False
1,87,24,4877.0,False
1,95,8,5207.0,False
1,103,20,5747.0,False
1,109,18,6052.0,False
1,117,17,6507.0,False
1,122,26,6745.0,False
1,129,0,7222.0,False
1,131,29,7368.0,False
1,133,23,7530.0,False
1,136,5,7720.0,False
1,138,27,7848.0,False
1,144,10,8194.0,False
1,155,7,8857.0,False
1,156,2,8912.0,False
1,160,22,9124.0,False
1,163,19,9314.0,False
1,167,1,9498.0,False
1,176,12,10016.0,False
1,177,11,10095.0,False
1,180,25,10274.0,False
1,183,16,10409.0,False
1,187,6,10615.0,False
1,188,4,10651.0,False
1,196,15,11012.0,False
1,197,13,11081.0,False
1,201,3,11325.0,False
