episode,total_reward,steps,makespan,completed_jobs,fully_completed_jobs,met_deadlines,deadline_ratio,avg_machine_util,machine_util_std
2161,-825.4487736495065,123,6864,20,20,0,0.0,0.9847028,0.011172125
2162,-910.3135168220352,123,6780,20,20,0,0.0,0.97232056,0.02643105
2163,-800.3919201657707,123,6862,20,20,0,0.0,0.97595453,0.028240317
2164,-1046.9464147611807,123,6832,20,20,0,0.0,0.9863388,0.016217533
2165,-1038.6190545360575,123,6861,20,20,0,0.0,0.99232376,0.007879858
2166,-1227.7875232262586,123,6837,20,20,0,0.0,0.9862513,0.013381793
2167,-919.2035112409341,123,6953,20,20,0,0.0,0.9924253,0.00654284
2168,-939.5784848808703,123,6834,20,20,0,0.0,0.98731834,0.014843041
2169,-1222.9015201896036,123,6890,20,20,0,0.0,0.9870343,0.011529916
2170,-864.5026814446875,123,6845,20,20,0,0.0,0.9897736,0.009149927
2171,-1275.5629079046382,123,6814,20,20,0,0.0,0.98923784,0.012145889
2172,-1269.956156643632,123,6912,20,20,0,0.0,0.9859182,0.014394759
2173,-998.2806113717068,123,6793,20,20,0,0.0,0.98905736,0.0123892175
2174,-1614.1553114043684,123,6837,20,20,0,0.0,0.977378,0.021160945
2175,-1011.5478628777748,123,6866,20,20,0,0.0,0.99300903,0.0069432743
2176,-1080.4772171975847,123,6825,20,20,0,0.0,0.9873993,0.010410155
2177,-892.7530168545289,123,6881,20,20,0,0.0,0.980187,0.01428472
2178,-1182.7891472846363,123,6895,20,20,0,0.0,0.9923616,0.007841005
2179,-1171.0118603457108,123,6831,20,20,0,0.0,0.9865808,0.009667991
2180,-903.9855838746179,123,6811,20,20,0,0.0,0.9742084,0.023490293
2181,-1040.4858510854053,123,6852,20,20,0,0.0,0.9815139,0.016391708
2182,-1112.8619858935222,123,6869,20,20,0,0.0,0.98568445,0.010440234
2183,-1230.7029430159585,123,6847,20,20,0,0.0,0.98607665,0.01245697
2184,-890.3045475392402,123,6873,20,20,0,0.0,0.9719191,0.023230655
2185,-772.1973146144078,123,6765,20,20,0,0.0,0.9848731,0.011097518
2186,-839.9048788683237,123,6850,20,20,0,0.0,0.9760097,0.021998253
2187,-1018.1377708638587,123,6885,20,20,0,0.0,0.9786008,0.0153547805
2188,-922.7005727601328,123,6887,20,20,0,0.0,0.9613281,0.04045745
2189,-929.9116448439828,123,6807,20,20,0,0.0,0.9897165,0.007695486
2190,-1203.3160339997871,123,6896,20,20,0,0.0,0.9823569,0.01782259
2191,-1220.1751717550478,123,6901,20,20,0,0.0,0.9712602,0.020934979
2192,-863.2891568560619,123,6799,20,20,0,0.0,0.98455656,0.011812307
2193,-839.9756852141661,123,6863,20,20,0,0.0,0.98557484,0.010748927
2194,-810.050138341409,123,6835,20,20,0,0.0,0.98693,0.011622706
2195,-1102.437557098986,123,6850,20,20,0,0.0,0.9796107,0.016995577
2196,-991.6817740953516,123,6781,20,20,0,0.0,0.9807305,0.016413419
2197,-1020.1803976137295,123,6894,20,20,0,0.0,0.9842375,0.015259546
2198,-1208.2789279990914,123,6861,20,20,0,0.0,0.9931497,0.0051832343
2199,-1089.233639839854,123,6877,20,20,0,0.0,0.98482865,0.011855238
2200,-1310.5541224217272,123,6873,20,20,0,0.0,0.9887968,0.012787718
2201,-1401.4491926603732,123,6828,20,20,0,0.0,0.9879418,0.010311946
2202,-1222.2213624671576,123,6813,20,20,0,0.0,0.98551786,0.014276181
2203,-805.9268517674601,123,6865,20,20,0,0.0,0.9831027,0.015962726
2204,-941.7084138459857,123,6854,20,20,0,0.0,0.9922673,0.0074518793
2205,-841.8704893433471,123,6780,20,20,0,0.0,0.98662734,0.015028974
2206,-991.4632272651813,123,6825,20,20,0,0.0,0.993895,0.0054276213
2207,-1013.931049575406,123,6908,20,20,0,0.0,0.99242425,0.0072633578
2208,-837.8284064173854,123,6846,20,20,0,0.0,0.9787224,0.022787767
2209,-1172.3747009232482,123,6895,20,20,0,0.0,0.9859318,0.012328616
2210,-1109.4054764206203,123,6769,20,20,0,0.0,0.9882799,0.0092466185
2211,-1461.5984669335448,123,6893,20,20,0,0.0,0.9894579,0.008472776
2212,-1199.6568197723834,123,6871,20,20,0,0.0,0.9926745,0.0068329447
2213,-822.6474389310478,123,6854,20,20,0,0.0,0.9869176,0.009433127
2214,-1012.3027815923202,123,6839,20,20,0,0.0,0.9853292,0.014304857
2215,-990.4437478317681,123,6891,20,20,0,0.0,0.9883907,0.011095508
2216,-1193.3123810236607,123,6871,20,20,0,0.0,0.97787803,0.028651139
2217,-1140.9690908594027,123,6806,20,20,0,0.0,0.9802135,0.016442649
2218,-1224.6749681781528,123,6805,20,20,0,0.0,0.9892236,0.012161939
2219,-979.8679323737563,123,6813,20,20,0,0.0,0.99045944,0.006997283
2220,-952.0409476885864,123,6834,20,20,0,0.0,0.98185545,0.018798733
2221,-909.353322791488,123,6845,20,20,0,0.0,0.993718,0.0055219526
2222,-1154.8295956540092,123,6822,20,20,0,0.0,0.98534155,0.013711724
2223,-984.9462798192309,123,6864,20,20,0,0.0,0.9878108,0.009874101
2224,-1080.2175365398282,123,6831,20,20,0,0.0,0.99258286,0.0075125457
2225,-1116.5226074656352,123,6910,20,20,0,0.0,0.9892909,0.012112002
2226,-1220.867118901884,123,6844,20,20,0,0.0,0.98339176,0.014727925
2227,-1437.3365846294105,123,6761,20,20,0,0.0,0.99349207,0.0066716955
2228,-897.7065818089998,123,6836,20,20,0,0.0,0.9922957,0.007908677
2229,-1142.8056103155438,123,6827,20,20,0,0.0,0.98872125,0.012873895
2230,-1404.863582153651,123,6895,20,20,0,0.0,0.98825234,0.013559327
2231,-1096.4516389328198,123,6854,20,20,0,0.0,0.9855559,0.017327566
2232,-1248.4439149084208,123,6825,20,20,0,0.0,0.9763614,0.020280337
2233,-820.4656550070999,123,6762,20,20,0,0.0,0.9845706,0.018672757
2234,-1124.8442137510472,123,6828,20,20,0,0.0,0.9846221,0.018629644
2235,-996.0562838685207,123,6831,20,20,0,0.0,0.99102134,0.009667991
2236,-1372.53769106407,123,6821,20,20,0,0.0,0.9857792,0.016999144
2237,-1223.342618470911,123,6857,20,20,0,0.0,0.978951,0.026045654
2238,-1284.678486460764,123,6898,20,20,0,0.0,0.98381174,0.017560013
2239,-932.5488492983985,123,6890,20,20,0,0.0,0.9874214,0.011026876
2240,-1239.3186821423258,123,6843,20,20,0,0.0,0.98251253,0.019328248
2241,-999.6704358013444,123,6867,20,20,0,0.0,0.98951507,0.0117808655
2242,-950.6330159888794,123,6882,20,20,0,0.0,0.97607285,0.019881107
2243,-970.6931158566574,123,6775,20,20,0,0.0,0.9878967,0.010329982
2244,-1341.3029663807893,123,6895,20,20,0,0.0,0.9827411,0.014719668
2245,-924.7906924962974,123,6771,20,20,0,0.0,0.9872003,0.014981153
2246,-1055.2683055858454,123,6899,20,20,0,0.0,0.9885974,0.013077723
2247,-1477.6999094672146,123,6904,20,20,0,0.0,0.98170143,0.022776958
2248,-1370.0360012967606,123,6854,20,20,0,0.0,0.98453456,0.013752336
2249,-947.6938156747584,123,6847,20,20,0,0.0,0.98982525,0.008599417
2250,-1176.9251137982567,123,6801,20,20,0,0.0,0.99166787,0.0076772845
2251,-904.9159796720375,123,6754,20,20,0,0.0,0.989389,0.008469555
2252,-1087.8278826099427,123,6847,20,20,0,0.0,0.98573583,0.015847234
2253,-866.3122712170277,123,6794,20,20,0,0.0,0.9826808,0.020088378
2254,-850.6997079607784,123,6862,20,20,0,0.0,0.98158944,0.022332491
2255,-1148.2113710019153,123,6888,20,20,0,0.0,0.9788521,0.02678833
2256,-1064.2984457623368,123,6881,20,20,0,0.0,0.9841593,0.015353924
2257,-1124.6595758595975,123,6811,20,20,0,0.0,0.98370284,0.012326573
2258,-1020.9908811359976,123,6845,20,20,0,0.0,0.99352324,0.0056333453
2259,-1687.9890656903274,123,6798,20,20,0,0.0,0.9868589,0.011685954
2260,-1011.913694572399,123,6902,20,20,0,0.0,0.9784604,0.019653715
2261,-1170.2270381035032,123,6747,20,20,0,0.0,0.9849316,0.0141947055
2262,-1391.9079892950483,123,6742,20,20,0,0.0,0.98759025,0.010696008
2263,-1262.050178308749,123,6879,20,20,0,0.0,0.99219847,0.006731464
2264,-921.6218235131913,123,6863,20,20,0,0.0,0.98732334,0.01113316
2265,-1281.1224325378512,123,6857,20,20,0,0.0,0.986972,0.011585413
2266,-1403.2906022283694,123,6804,20,20,0,0.0,0.98500884,0.014141466
2267,-1769.298620003996,123,6775,20,20,0,0.0,0.9901599,0.0075823124
2268,-1484.3001127069538,123,6808,20,20,0,0.0,0.9904035,0.00938027
2269,-906.3742326062247,123,6785,20,20,0,0.0,0.988848,0.009600215
2270,-892.7778176918464,123,6809,20,20,0,0.0,0.98413867,0.015317614
2271,-1210.7986820653844,123,6762,20,20,0,0.0,0.98609877,0.010214439
2272,-876.2337813456927,123,6836,20,20,0,0.0,0.9881022,0.011611164
2273,-1060.0666253681911,123,6849,20,20,0,0.0,0.98165184,0.018745933
2274,-965.8680423459905,123,6926,20,20,0,0.0,0.9875349,0.009109019
2275,-1054.7192111271113,123,6726,20,20,0,0.0,0.98523146,0.013775054
2276,-1104.6609616745286,123,6831,20,20,0,0.0,0.9750159,0.027931333
2277,-938.6344942180746,123,6861,20,20,0,0.0,0.9878055,0.012030931
2278,-894.7341920007528,123,6838,20,20,0,0.0,0.982256,0.018337762
2279,-1425.036981841129,123,6791,20,20,0,0.0,0.98718894,0.012824338
2280,-880.2792739067588,123,6891,20,20,0,0.0,0.99390507,0.0057402146
2281,-890.7292959747007,123,6762,20,20,0,0.0,0.98614806,0.010841995
2282,-1157.0626085347744,123,6874,20,20,0,0.0,0.987877,0.010777867
2283,-896.4674057214035,123,6800,20,20,0,0.0,0.99009806,0.010219863
2284,-1163.4584266903767,123,6789,20,20,0,0.0,0.98409194,0.01536275
2285,-1139.4217228603832,123,6846,20,20,0,0.0,0.9836401,0.013925584
2286,-998.5627018441702,123,6649,20,20,0,0.0,0.99017394,0.010582429
2287,-1195.7974553803228,123,6818,20,20,0,0.0,0.98381734,0.013673353
2288,-1063.2476860136844,123,6825,20,20,0,0.0,0.990232,0.0075267567
2289,-1472.5146014073946,123,6753,20,20,0,0.0,0.99185544,0.0062229894
2290,-823.7223787670564,123,6803,20,20,0,0.0,0.9931893,0.006122588
2291,-1459.8489005494077,123,6861,20,20,0,0.0,0.9861536,0.013450765
2292,-1098.971438128057,123,6881,20,20,0,0.0,0.98672676,0.014943733
2293,-889.1651220817174,123,6834,20,20,0,0.0,0.98629403,0.010677086
2294,-819.2687064228919,123,6774,20,20,0,0.0,0.9848932,0.0142700765
2295,-971.5768413115339,123,6727,20,20,0,0.0,0.9838462,0.012104378
2296,-989.0563364909951,123,6737,20,20,0,0.0,0.9929741,0.006302577
2297,-2026.3194661589037,123,6783,20,20,0,0.0,0.9867315,0.010142167
2298,-1325.4626778885313,123,6883,20,20,0,0.0,0.98973316,0.0076752715
2299,-1301.7830779457645,123,6795,20,20,0,0.0,0.9870493,0.013017972
2300,-921.1930027762836,123,6863,20,20,0,0.0,0.98732334,0.012689778
2301,-889.6070897693393,123,6790,20,20,0,0.0,0.9843397,0.016749011
2302,-881.181034363971,123,6814,20,20,0,0.0,0.98693866,0.01243598
2303,-860.4124805198388,123,6833,20,20,0,0.0,0.9911703,0.007548282
2304,-807.9769988206906,123,6861,20,20,0,0.0,0.9848419,0.018334964
2305,-908.9455000201589,123,6852,20,20,0,0.0,0.98778945,0.008829501
