episode,step,job_idx,operation_id,reward,makespan,current_time,setup_time,job_completed,reward_makespan_reward,reward_setup_reward,reward_deadline_reward,reward_priority_reward,reward_critical_job_reward,reward_placement_reward,reward_timeliness_reward,reward_machine_idle_penalty
1,1,17,J18:OP1,8.87846741310184,23,23.0,0,False,-0.115,0.0,0.0,0.0,0.5,0.0,9.16846741310184,-0.675
1,2,15,J16:OP1,7.857405829345057,71,71.0,0,False,-0.355,0.0,0.0,0.0,1.0,0.0,18.3533732424469,-2.2625
1,3,17,J18:OP2,0.9827207126127573,117,117.0,23,False,-0.585,-5.75,0.0,0.0,1.5,0.0,27.553593955059657,-5.0
1,4,10,J11:OP1,-0.29366820694506224,193,193.0,18,False,-0.965,-10.25,0.0,0.0,1.5,0.0,36.777425748114595,-9.6375
1,5,7,J8:OP1,6.63261528276702,207,207.0,0,False,-1.035,-10.25,0.0,0.0,1.5,0.0,46.005041030881614,-12.1625
1,6,7,J8:OP2,-5.133723899096314,289,289.0,47,False,-1.4449999999999998,-22.0,0.0,0.0,1.5,0.0,55.2563171317853,-14.3875
1,7,15,J16:OP2,-4.186851070174163,345,345.0,40,False,-1.7249999999999999,-32.0,0.0,0.0,2.0,0.0,64.52446606161114,-18.0625
1,8,7,J8:OP3,-5.952390987150249,412,412.0,38,False,-2.06,-41.5,0.0,0.0,2.0,0.0,73.80707507446088,-23.4625
1,9,14,J15:OP1,0.06010972644991508,460,460.0,22,False,-2.3,-47.0,0.0,0.0,2.5,0.0,83.0946848009108,-27.45
1,10,7,J8:OP4,3.5953747205412108,522,522.0,13,False,-2.61,-50.25,0.0,0.0,2.5,0.0,92.40005952145201,-29.599999999999998
1,11,18,J19:OP1,-4.7259318667186045,589,589.0,45,False,-2.945,-61.5,0.0,0.0,2.5,0.0,101.70912765473341,-32.05
1,12,16,J17:OP1,0.8083332037154971,628,628.0,26,False,-3.1399999999999997,-68.0,0.0,0.0,2.5,0.0,111.0249608584489,-33.8625
1,13,18,J19:OP2,-3.6563794728675996,683,683.0,40,False,-3.4149999999999996,-78.0,0.0,0.0,2.5,0.0,120.3435813855813,-36.5625
1,14,2,J3:OP1,3.9136608804474577,732,732.0,15,False,-3.6599999999999997,-81.75,0.0,0.0,3.0,0.0,129.66474226602875,-38.475
